node1,node2,ratio
436864020,3038710046,0.00547686
2139867193,9061486051,0.00386431
2147567579,2147567601,0.00371904
6204657988,10951405280,0.00323963
2959081059,3040583127,0.00261495
436835483,436864020,0.00257137
2147567580,2147567613,0.00241156
1967751500,2064262644,0.00238251
11257338959,11296428336,0.00238251
436835483,1830504800,0.00232440
2141616543,2938354331,0.00229534
387154517,798645945,0.00228082
1795204580,2959081059,0.00228082
4593717731,5041076968,0.00226629
2147567559,2147567567,0.00225176
436835498,1834932797,0.00213554
436855694,13075573305,0.00212101
436864020,2473238876,0.00201932
11688752961,13068180283,0.00197574
2139941847,5168879192,0.00190310
2147567526,2147567609,0.00187405
1795204580,3034197250,0.00185952
2473238876,4426326194,0.00185952
436868019,10974501406,0.00183046
1795204580,4426326194,0.00180141
9283051973,9468334143,0.00177235
436862293,3617050506,0.00177235
2292697262,3819769031,0.00175783
5861128817,6204657988,0.00172877
2139811874,2147567567,0.00172877
414683392,3811554590,0.00169972
1795204599,4426326194,0.00169972
1104187221,3822999133,0.00167066
4242253370,5281685323,0.00165613
11689066408,11689066418,0.00162708
3749753642,3860578492,0.00161255
436393765,2292697262,0.00159802
436393615,5587181199,0.00152539
414685935,436849340,0.00151086
3034164310,3034197250,0.00151086
798645945,2139811760,0.00149633
2309932435,3811678409,0.00148180
2147567526,2147567601,0.00145275
10726078219,11941978996,0.00145275
436835489,1834932797,0.00143822
2147567559,2147567613,0.00143822
796137310,2139941920,0.00142369
355173024,11257338599,0.00142369
436854170,4580515490,0.00139464
11688752955,11688752961,0.00139464
12234347006,12234347007,0.00135106
11296428353,12234346940,0.00132200
436830144,2147567604,0.00129295
3414087837,3414087838,0.00129295
2292697262,3820983702,0.00126389
2960309144,2960309145,0.00126389
2330782571,3390511794,0.00124936
3034284276,3034284282,0.00124936
3823206892,11978139848,0.00123484
12234346941,12234346942,0.00123484
436849340,3823125301,0.00123484
3819768169,4086709496,0.00123484
436857342,2288721324,0.00123484
2532345930,5861128817,0.00122031
414683392,3822999249,0.00120578
2147528627,3749753642,0.00119125
1104187221,3811441495,0.00117673
387154517,387154698,0.00117673
1795204599,3033951751,0.00116220
3867926913,4677757273,0.00116220
3893042379,5863307834,0.00116220
1149288292,11296428354,0.00116220
353194455,3279011096,0.00114767
436877301,11252413047,0.00113314
3855510831,4065497954,0.00113314
798645919,2753700678,0.00113314
3811439629,4582139117,0.00110409
3078076779,3078076798,0.00110409
2532345930,3860578492,0.00108956
436877301,11252413080,0.00108956
436855998,6008260205,0.00108956
436393603,436393611,0.00108956
11178032838,11296481777,0.00108956
436393814,11228575799,0.00107503
3074787435,3331258297,0.00106051
1969395186,3078076798,0.00106051
11944712422,11944712439,0.00104598
2139941766,2374776955,0.00104598
2451940614,4677757273,0.00103145
2292697262,3819768784,0.00103145
5703054986,5703054996,0.00101692
11296481682,11296481686,0.00100240
11252413260,11252413279,0.00100240
436825400,7068970634,0.00100240
798645174,12455462133,0.00100240
11689066396,11689066406,0.00098787
3811078662,3811554562,0.00098787
8477772800,9283051988,0.00098787
436810135,3811440589,0.00097334
414687711,3823584998,0.00097334
12234347082,12234347090,0.00095881
11688752947,11688752955,0.00095881
11204976861,11228574102,0.00095881
9283051960,9283051961,0.00094429
436760124,2139941756,0.00094429
436857321,1133534458,0.00094429
2532403744,11944775171,0.00094429
436855641,2288449080,0.00094429
