u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
307924211,2930525549,residential,0,82.42929389268659,0,0,30.35000038,0.3890967272992558,4,3.0,2,2,asphalt
307924211,2960308646,secondary,0,9.439707279047926,0,0,30.60000038,0.3890967272992558,4,3.0,2,2,asphalt
307924211,3823587261,residential,0,80.61038119845557,0,0,30.35000038,0.3890967272992558,2,2.0,1,1,asphalt
307924211,3823587157,secondary,0,57.41659878499448,0,0,30.60000038,0.3890967272992558,4,3.0,2,2,asphalt
307924222,3823586881,residential,0,49.7597464422267,0,0,27.80999947,0.0252765532052847,3,2.5,2,2,asphalt
307924222,4576632339,residential,0,15.120144151871656,0,0,27.80999947,0.0252765532052847,2,2.0,1,1,asphalt
307924222,3823586981,residential,0,124.04163107020572,0,0,28.08500004,0.2270154850078506,2,2.0,1,1,asphalt
307924223,307924224,residential,0,20.545962659259835,0,0,28.97999954,0.0549937187806669,4,3.0,2,2,asphalt
307924223,3823587003,residential,0,34.683483866292626,0,0,28.670000075,0.2418740677955417,2,2.0,1,1,asphalt
307924223,3823587092,residential,0,22.206970840497483,0,0,28.97999954,0.0549937187806669,2,2.0,1,1,asphalt
307924224,3823586968,residential,0,28.877793610373125,0,0,28.97999954,0.0549937187806669,4,3.0,2,2,asphalt
307924224,3823587102,residential,0,62.99626194783396,0,0,28.97999954,0.0549937187806669,2,2.0,1,1,asphalt
307924224,307924223,residential,0,20.545962659259835,0,0,28.97999954,0.0549937187806669,4,3.0,2,2,asphalt
307924229,307924231,residential,0,60.30919186435428,0,0,37.29999924,0.0483152729430356,2,2.0,1,1,asphalt
307924229,436849320,secondary,0,45.90775807655743,0,0,37.29999924,0.0483152729430356,2,2.0,1,1,asphalt
307924229,3819769661,secondary,0,158.99272859229168,0,0,34.949998855000004,2.4638650521756458,2,2.0,1,1,asphalt
307924231,8373737661,residential,0,16.74264629631787,0,0,37.29999924,0.0483152729430356,2,2.0,1,1,asphalt
307924231,3824954306,residential,0,76.65577070739718,0,0,38.350000385,0.5227738212394512,2,2.0,1,1,asphalt
307924231,307924229,residential,0,60.30919186435427,0,0,37.29999924,0.0483152729430356,2,2.0,1,1,asphalt
307931315,5316100660,residential,0,75.79236891845916,0,0,56.045000075,4.607759264951147,4,3.0,2,2,asphalt
307931315,5281648447,secondary,0,200.4454578303859,0,0,52.5,5.825962864532306,4,3.0,2,2,asphalt
307931315,1796860673,secondary,0,155.9324166072819,0,0,60.109998700000006,6.155143477313755,2,2.0,1,1,asphalt
352994306,3820983892,residential,0,77.60206583040298,0,0,25.18499947,2.0926083705616225,2,2.0,1,1,asphalt
352994306,3820983880,residential,0,71.22012206745308,0,0,30.664999965,4.517999495562117,2,2.0,1,1,asphalt
352994306,436810573,secondary,0,53.112032579245096,0,0,28.5,3.347977461430876,2,2.0,1,1,asphalt
352994306,3820983887,secondary,0,53.725076227718105,0,0,27.079999925000003,2.956851985848091,2,2.0,1,1,asphalt
352994528,4569528547,residential,0,43.88095244407775,0,0,30.93000031,1.592599935882679,2,2.0,1,1,asphalt
352994528,3823586730,residential,0,21.492191671759283,0,0,30.93000031,1.592599935882679,2,2.0,1,1,asphalt
352994528,3823586800,residential,0,132.17715043452398,0,0,30.994999890000003,1.2400875428011835,1,1.0,1,0,asphalt
352994529,4571012704,residential,0,32.38203122531902,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
352994529,3823586800,residential,0,48.05034757218807,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
352994529,3823586779,secondary,0,60.17131900740132,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
352994529,353194433,secondary,0,89.86841538451318,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
352994667,3823587062,residential,0,117.13570492461965,0,0,38.51499939,5.21916650113414,2,2.0,1,1,asphalt
352994667,3823587364,residential,0,232.41424039464715,0,0,43.53000069,7.871225293277335,2,2.0,1,1,asphalt
352994667,3823586813,residential,0,87.1512821125726,0,0,36.805000305,4.781142507160954,2,2.0,1,1,asphalt
352994671,352994767,residential,0,24.55914005945769,0,0,48.04000092,7.340362765765807,2,2.0,1,1,asphalt
352994671,3823587364,residential,0,16.931532240031597,0,0,48.04000092,7.340362765765807,2,2.0,1,1,asphalt
352994671,3823587787,residential,0,144.9566816363353,0,0,52.729999545,13.214136313816423,2,2.0,1,1,asphalt
352994767,352994671,residential,0,24.55914005945769,0,0,48.04000092,7.340362765765807,2,2.0,1,1,asphalt
352994767,3823587308,residential,0,65.41471304624642,0,0,46.1400013,4.652947474593893,2,2.0,1,1,asphalt
352994767,3823587245,residential,0,147.95538383675031,0,0,44.78499985,4.652947474593893,2,2.0,1,1,asphalt
352994770,3823587160,residential,0,9.07374108032566,0,0,41.52999878,1.965532183421979,2,2.0,1,1,asphalt
352994770,3823587114,residential,0,26.418259125984623,0,0,41.52999878,1.965532183421979,2,2.0,1,1,asphalt
352994770,3823587308,residential,0,67.94602336844511,0,0,42.88500023,1.965532183421979,2,2.0,1,1,asphalt
352994772,3823586985,residential,0,35.328253458222655,0,0,38.00999832,2.036245181479418,2,2.0,1,1,asphalt
352994772,3823587038,residential,0,22.212857593534068,0,0,38.00999832,2.036245181479418,2,2.0,1,1,asphalt
352994772,3823587176,residential,0,108.1703730939428,0,0,47.920000075,3.594568423332216,2,2.0,1,1,asphalt
353193674,3819768906,residential,0,59.9350040454487,0,0,25.10000038,2.507555200678455,2,2.0,1,1,asphalt
353193674,436862060,secondary,0,90.76625622298944,0,0,25.86499977,2.0242094489708062,2,2.0,1,1,asphalt
353193674,3819768764,secondary,0,17.73950201976762,0,0,25.10000038,2.507555200678455,2,2.0,1,1,asphalt
353193675,3819768934,residential,0,29.50595846492426,0,0,24.63999939,1.540863697263157,2,2.0,1,1,asphalt
353193675,3819769063,residential,0,66.72519406305183,0,0,25.89999962,0.8703587636872732,2,2.0,1,1,asphalt
353193675,3819768927,residential,0,69.745136211465,0,0,25.634999275,1.540863697263157,2,2.0,1,1,asphalt
353193675,3819768984,residential,0,86.34548906144454,0,0,25.840000155,0.9369171422948348,2,2.0,1,1,asphalt
353193678,3819769379,residential,0,184.6417401577361,0,0,28.649999620000003,1.4586447846347337,2,2.0,1,1,asphalt
353193678,353193679,residential,0,55.36874858603984,0,0,25.75,0.0106101914140363,2,2.0,1,1,asphalt
353193678,3819769234,residential,0,54.53404771307382,0,0,25.73999977,0.0106101914140363,2,2.0,1,1,asphalt
353193678,3819769241,residential,0,108.4118587739422,0,0,25.774999620000003,0.4165182026387291,2,2.0,1,1,asphalt
353193679,3819769399,residential,0,55.21463680469374,0,0,25.76000023,0.0106101914140363,2,2.0,1,1,asphalt
353193679,3819769391,residential,0,85.6025800172396,0,0,28.65999985,1.4586447846347337,2,2.0,1,1,asphalt
353193679,353193678,residential,0,55.36874858603984,0,0,25.75,0.0106101914140363,2,2.0,1,1,asphalt
353193679,4580258481,residential,0,121.31023690733804,0,0,24.965000155,0.3013077684451395,2,2.0,1,1,asphalt
353193681,3819769745,residential,0,12.933406092240418,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193681,3819769725,residential,0,19.512625377454963,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193681,3819769784,residential,0,74.35698814749725,0,0,24.98999977,1.1436517061217164,2,2.0,1,1,asphalt
353193681,3819769701,residential,0,36.66367921832348,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193888,4580091947,residential,0,47.25596837553313,0,0,27.64999962,0.5964080920355431,2,2.0,1,1,asphalt
353193888,3823586788,residential,0,57.3544400836616,0,0,26.859999655,0.6798137943223732,2,2.0,1,1,asphalt
353193888,4580091946,residential,0,54.33897511056014,0,0,27.494999885,0.9201698586548884,2,2.0,1,1,asphalt
353193929,3823589190,residential,1,56.64350522952936,0,0,82.17499924,12.560692863438597,1,2.0,1,0,asphalt
353193929,3823589179,residential,0,30.925359034740715,0,0,84.77499771000001,10.76409139203243,2,2.0,1,1,asphalt
