u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
287630237,2451940610,residential,0,55.09174700703812,0,0,8.25,0.3622782175134617,4,3.0,2,2,asphalt
287630237,2139941906,residential,0,62.1456815974133,0,0,8.58500004,0.1415390249737006,2,2.0,1,1,asphalt
287630237,3867926925,residential,0,47.04975343960373,0,0,8.65999985,0.1415390249737006,4,3.0,2,2,asphalt
355129296,355129297,tertiary,0,60.955064505144286,0,0,8.63000011,1.946717490453809,4,3.0,2,2,asphalt
355129296,3494544694,tertiary,0,111.2020190176736,0,0,8.595000265,0.9866328573549104,2,2.0,1,1,asphalt
355129296,3494544693,tertiary,0,107.55000248632732,0,0,8.63000011,1.946717490453809,4,3.0,2,2,asphalt
355129296,355799510,tertiary,0,125.78669664945986,0,0,8.309999939999999,1.1052725660580358,2,2.0,2,0,asphalt
355129297,4634390513,residential,0,34.550798993888456,0,0,8.63000011,1.946717490453809,2,2.0,1,1,paving_stones
355129297,355129296,tertiary,0,60.95506450514428,0,0,8.63000011,1.946717490453809,4,3.0,2,2,asphalt
355129297,356653358,residential,0,245.06755697708263,0,0,11.845000265,6.086811001103279,2,2.0,1,1,asphalt
355129297,355129299,tertiary,0,176.6641877780687,0,0,8.53000021,1.0149636192599591,2,2.0,1,1,paving_stones
355129299,357763810,residential,0,110.50688392101068,0,0,8.43000031,0.0832097480661093,2,2.0,1,1,paving_stones
355129299,355799509,tertiary,0,64.67679957824313,0,0,8.43000031,0.0832097480661093,2,2.0,2,0,paving_stones
355129299,355129297,tertiary,0,176.66418777806874,0,0,8.53000021,1.0149636192599591,2,2.0,1,1,paving_stones
355129299,4634390513,residential,0,160.57065888079563,0,0,8.53000021,1.0149636192599591,2,2.0,1,1,paving_stones
355129515,355432281,residential,1,120.87313391533964,0,0,8.755000115,14.09709725142628,1,2.0,1,0,asphalt
355129515,355433091,residential,0,80.1320205149395,0,0,8.69000006,12.006405159817026,2,2.0,1,1,asphalt
355129518,436840344,tertiary,0,58.95490461431808,0,0,9.40999985,0.4721806465878268,2,2.0,1,1,asphalt
355129518,6584019687,residential,0,122.7030284613283,0,0,8.985000135,0.3258871140893224,2,2.0,1,1,asphalt
355129518,355798666,residential,0,118.02781225269725,0,0,9.559999945,0.4320445988042189,2,2.0,1,1,asphalt
355129518,4634390383,tertiary,0,69.99154068964232,0,0,9.94000006,0.838698037620132,2,2.0,1,1,asphalt
355129675,355433089,residential,0,91.82662723177567,0,0,9.03999996,0.7763988117974977,4,3.0,4,0,asphalt
355129675,355129854,residential,1,163.5433123119783,0,0,8.900000095,4.474825838693483,1,2.0,1,0,asphalt
355129678,387154859,residential,0,9.289535962324903,0,0,8.98999977,1.522173031619671,2,2.0,1,1,asphalt
355129678,387154947,residential,0,178.93410222987063,0,0,8.48999977,0.8930003366409669,3,3.0,2,1,asphalt
355129678,387154920,residential,0,71.33586516140032,0,0,8.98999977,1.522173031619671,4,3.0,2,2,asphalt
355129854,355433088,residential,0,94.97690623275756,0,0,8.77000046,7.713692262459624,4,3.0,2,2,asphalt
355129854,6583346926,residential,1,166.06859155440264,0,0,13.994999885,9.81905911598428,1,2.0,1,0,asphalt
355432281,2930463921,residential,1,85.16393509069812,0,0,8.740000245000001,2.3895965132572483,1,3.0,1,0,asphalt
355432281,355129675,residential,1,119.7374009542834,0,0,9.05999994,2.91354271470894,1,3.0,1,0,asphalt
355432282,355799976,residential,0,108.10209395397048,0,0,8.38500023,0.2211595918538681,2,2.0,1,1,asphalt
355432282,2374750053,tertiary,0,119.84237274079894,0,0,8.309999945000001,0.2749008270012099,2,2.0,1,1,asphalt
355432282,2930463922,tertiary,0,119.972092692169,0,0,8.225000385000001,0.206441460731906,2,2.0,1,1,asphalt
355432430,355129515,residential,1,123.86760619952054,0,0,11.79500008,19.24980524210028,1,2.0,1,0,asphalt
355432430,355433092,residential,0,61.41674384754643,0,0,11.99000025,7.539464245349096,6,4.0,3,3,asphalt
355432431,355432936,residential,0,106.69686923316723,0,0,8.83500004,0.1137870250892691,2,2.0,1,1,asphalt
355432431,355800598,residential,0,107.3401668384192,0,0,9.110000135,0.1130075114889816,2,2.0,1,1,asphalt
355432431,355798263,tertiary,0,89.57494642491936,0,0,8.58500004,0.1030011295882035,2,2.0,1,1,asphalt
355432431,2374750053,tertiary,0,122.99806723181167,0,0,8.529999735,0.1869148087337187,2,2.0,1,1,asphalt
355432933,355433089,residential,0,76.65167902323626,0,0,8.83500004,0.3168382086676533,2,2.0,1,1,asphalt
355432933,2930463922,residential,0,107.06675080544385,0,0,8.445000175,0.2542807691387986,2,2.0,1,1,asphalt
355432933,357763810,residential,0,161.51240120757677,0,0,8.5250001,0.2000239783668813,2,2.0,2,0,asphalt
355432933,355432934,residential,0,120.399592665906,0,0,8.630000115000001,0.2524526103458063,2,2.0,1,1,asphalt
355432934,355432282,residential,1,105.95669653305788,0,0,8.410000325,0.2046133019389137,1,2.0,1,0,asphalt
355432934,355432933,residential,0,120.399592665906,0,0,8.630000115000001,0.2524526103458063,6,4.0,3,3,asphalt
355432934,355432935,residential,0,120.1362223230779,0,0,8.845000265,0.1268750297053114,2,2.0,1,1,asphalt
355432935,2374750053,residential,0,105.99492078921418,0,0,8.744999885,0.1971625547676076,2,2.0,1,1,asphalt
355432935,355433091,residential,0,77.3046065887446,0,0,9.005000115000001,0.2377124393293485,2,2.0,1,1,asphalt
355432935,355432934,residential,0,120.1362223230779,0,0,8.845000265,0.1268750297053114,2,2.0,1,1,asphalt
355432935,355432936,residential,0,122.2292806218679,0,0,9.05000019,0.124034771123158,2,2.0,1,1,asphalt
355432936,355432431,residential,0,106.69686923316723,0,0,8.83500004,0.1137870250892691,2,2.0,1,1,asphalt
355432936,355433092,residential,0,77.03775665135187,0,0,8.930000305,0.1823864948596525,2,2.0,1,1,asphalt
355432936,355432935,residential,0,122.2292806218679,0,0,9.05000019,0.124034771123158,2,2.0,1,1,asphalt
355432936,355432938,residential,0,78.16543925811186,0,0,9.05000019,0.1823864948596525,2,2.0,1,1,asphalt
355432938,355432939,residential,0,67.41540581840093,0,0,10.014999865,0.6379670218223783,6,4.0,3,3,asphalt
355432938,355432430,residential,1,192.43479208903665,0,0,12.110000135,7.539464245349096,1,4.0,1,0,asphalt
355432938,355432936,residential,0,78.16543925811186,0,0,9.05000019,0.1823864948596525,2,2.0,1,1,asphalt
355432939,355432938,residential,0,67.41540581840093,0,0,10.014999865,0.6379670218223783,6,4.0,3,3,asphalt
355432939,2374823805,residential,0,50.31290492442371,0,0,10.18999958,1.185126856327828,6,4.0,3,3,asphalt
355432939,436830144,primary,0,130.45242456816447,0,0,13.484999655,7.957160121585807,6,4.0,3,3,asphalt
355432939,2930463919,primary,0,114.8400114803484,0,0,9.89499998,0.7187061957709596,6,4.0,3,3,asphalt
355433088,357763810,residential,0,76.49231245401593,0,0,8.600000385000001,3.898451005262866,2,2.0,2,0,asphalt
355433088,355129854,residential,0,94.97690623275756,0,0,8.77000046,7.713692262459624,4,3.0,2,2,asphalt
355433089,355432933,residential,0,76.65167902323626,0,0,8.83500004,0.3168382086676533,2,2.0,1,1,asphalt
355433089,355129675,residential,0,91.82662723177566,0,0,9.03999996,0.7763988117974977,4,3.0,4,0,asphalt
355433089,355433088,residential,1,161.5005658960541,0,0,8.910000325,4.015265235563638,1,2.0,1,0,asphalt
355433091,355129515,residential,0,80.1320205149395,0,0,8.69000006,12.006405159817026,2,2.0,1,1,asphalt
355433091,355432935,residential,0,77.3046065887446,0,0,9.005000115000001,0.2377124393293485,2,2.0,1,1,asphalt
355433091,2930463921,residential,1,119.75039133141624,0,0,8.67500019,0.2989044216479964,1,2.0,1,0,asphalt
355433092,355432936,residential,0,77.03775665135187,0,0,8.930000305,0.1823864948596525,4,3.0,2,2,asphalt
355433092,355432430,residential,0,61.41674384754643,0,0,11.99000025,7.539464245349096,6,4.0,3,3,asphalt
355433092,355433091,residential,1,122.81564065302284,0,0,8.88500023,0.296064163065843,1,2.0,1,0,asphalt
355798263,2930463919,tertiary,0,67.9334599814934,0,0,8.680000305,0.2523397733071683,6,4.0,3,3,asphalt
355798263,355432938,residential,1,107.29497471739234,0,0,8.80000019,0.1716005993585869,1,2.0,1,0,asphalt
