gu,osmid,x,y
마포구,287630237,126.9427088,37.5399001
마포구,355129296,126.8989548,37.556104
마포구,355129297,126.8986437,37.556588
마포구,355129299,126.8985116,37.5580555
마포구,355129515,126.9012636,37.562023
마포구,355129518,126.9042761,37.5577629
마포구,355129675,126.8988261,37.561049
마포구,355129678,126.9024099,37.5544295
마포구,355129854,126.8971983,37.560349
마포구,355432281,126.9000431,37.5615274
마포구,355432282,126.9015425,37.5594226
마포구,355432430,126.9025772,37.5624188
마포구,355432431,126.9039408,37.5604973
마포구,355432933,126.8997581,37.5597262
마포구,355432934,126.9009518,37.5602525
마포구,355432935,126.9021359,37.5607875
마포구,355432936,126.9033413,37.5613309
마포구,355432938,126.9041125,37.5616779
마포구,355432939,126.9047326,37.5620328
마포구,355433088,126.8977362,37.5596089
마포구,355433089,126.8993295,37.560326
마포구,355433091,126.9017034,37.5613923
마포구,355433092,126.9029161,37.5619362
마포구,355798263,126.9048244,37.5608952
마포구,355798268,126.9075422,37.5578962
마포구,355798664,126.9051044,37.5588589
마포구,355798665,126.9054519,37.5583662
마포구,355798666,126.9055688,37.5580395
마포구,355798962,126.9071179,37.55836
마포구,355798964,126.901554,37.5572013
마포구,355798965,126.900164,37.5569092
마포구,355799509,126.8991477,37.5583454
마포구,355799510,126.9003339,37.5563945
마포구,355799678,126.8997436,37.5575064
마포구,355799975,126.9009559,37.5580496
마포구,355799976,126.9021402,37.5585737
마포구,355799977,126.9033223,37.5591114
마포구,355800480,126.9065419,37.5589939
마포구,355800597,126.9054568,37.5601909
마포구,355800598,126.9045384,37.5596562
마포구,356651268,126.9059978,37.56141
마포구,356653356,126.8972587,37.5557428
마포구,356653358,126.8970342,37.5557309
마포구,356653359,126.8970465,37.5556265
마포구,357763810,126.8981638,37.5590103
마포구,387153848,126.932108,37.541651
마포구,387153860,126.9407589,37.5372929
마포구,387154319,126.9089437,37.5468634
마포구,387154517,126.9075009,37.5468732
마포구,387154518,126.9082038,37.5474374
마포구,387154698,126.9082945,37.5462793
마포구,387154700,126.9089581,37.545984
마포구,387154705,126.9102429,37.5466456
마포구,387154712,126.9080712,37.5486222
마포구,387154717,126.9060418,37.5486902
마포구,387154858,126.9052131,37.554944
마포구,387154859,126.9024881,37.5543735
마포구,387154916,126.907328,37.5560921
마포구,387154918,126.9049914,37.5556186
마포구,387154920,126.9022579,37.5550473
마포구,387154947,126.9008586,37.5554673
마포구,387154950,126.9047718,37.5562777
마포구,387154951,126.907205,37.5567892
마포구,387154952,126.9087512,37.5562609
마포구,387154953,126.9095618,37.5556561
마포구,414683348,126.8989059,37.5733661
마포구,414685214,126.9319373,37.5455648
마포구,414685225,126.94077,37.54663
마포구,414685256,126.9329604,37.5500071
마포구,414685337,126.9083222,37.55806
마포구,414685342,126.912556,37.5589415
마포구,414685882,126.9159482,37.5677597
마포구,414685926,126.88814,37.57303
마포구,414685930,126.8865008,37.5741536
마포구,414685968,126.8808736,37.5774323
마포구,414685975,126.8905855,37.5782114
마포구,436393603,126.8990321,37.5624624
마포구,436393611,126.89917,37.56586
마포구,436393613,126.89917,37.56627
마포구,436393615,126.8983098,37.5662827
마포구,436689758,126.9426057,37.537501
마포구,436689812,126.9531787,37.5469777
마포구,436718632,126.9089141,37.5474613
마포구,436718644,126.913449,37.5492423
마포구,436718653,126.9165789,37.5513896
마포구,436718687,126.9369374,37.5550893
마포구,436718711,126.9561831,37.5573367
마포구,436760117,126.9441348,37.5345933
