u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
352993164,4581738307,residential,0,109.4929341715247,0,0,18.140000345,1.187591663548841,3,3.0,3,0,asphalt
352993164,5756267873,primary,1,175.94887490318163,0,0,18.78999996,0.5589698079997247,1,3.0,1,0,asphalt
355173024,11296428354,primary,1,80.30323778822391,0,0,52.960000995,3.2145037214946925,1,3.0,1,0,asphalt
414685905,5756267850,secondary,0,48.05244971012861,0,0,18.28999996,1.4714608184466405,5,4.0,3,2,asphalt
414685905,5643497455,primary,1,121.85789860648984,0,0,20.77000046,4.49323322501227,1,2.0,1,0,asphalt
414685905,10726078219,secondary,0,12.736793595274875,0,0,18.25,2.913500066860985,5,4.0,3,2,asphalt
414685935,11942035571,secondary,0,11.43100674627547,0,0,15.30000019,1.017689781195524,6,4.0,3,3,asphalt
414685935,3966543491,primary,1,299.4026804934486,0,0,16.360000135,2.737081427778812,1,2.0,1,0,asphalt
414685991,10784761077,secondary,0,13.886237602222325,0,0,35.32499981,19.05944476253832,4,3.0,2,2,asphalt
414685991,3820786216,residential,0,89.27619185273596,0,0,42.74500084,20.033918903273115,3,3.0,3,0,asphalt
414685991,3820786220,secondary,0,69.24564444359216,0,0,36.43500042,11.301664695314187,4,3.0,2,2,asphalt
414685991,436862488,secondary,0,64.8284362722169,1,0,36.18500042,21.95521502032958,3,3.0,3,0,asphalt
414688091,3825311808,secondary,0,50.38199006266058,0,0,46.29999924,11.21882226215528,4,3.0,2,2,asphalt
414688091,2329649097,secondary,0,143.63322563544574,0,0,42.715000155,6.978882349874679,4,3.0,2,2,asphalt
414688091,3785058257,secondary,0,82.73114949862392,0,0,47.484998705,6.252254362911098,4,3.0,2,2,asphalt
436810135,3811440480,residential,0,78.76093393116987,0,0,35.46500015,6.319237523716084,4,3.0,2,2,asphalt
436810135,3811440589,secondary,0,207.76335579826247,0,0,37.404998775,3.39149815613073,2,2.0,1,1,asphalt
436810135,3811440402,secondary,0,33.40670598823779,0,0,33.59999847,2.767902305794036,4,3.0,2,2,asphalt
436814857,3811629441,secondary,0,47.06205664316512,0,0,14.63000011,2.407014274545247,2,2.0,1,1,asphalt
436814857,4581906962,tertiary,0,54.62446624153162,0,0,14.63000011,2.407014274545247,2,2.0,1,1,asphalt
436814857,3459655803,secondary,0,175.57701300290594,0,0,14.39499998,1.85621899851588,2,2.0,1,1,asphalt
436814857,3811629414,secondary,0,96.09130713930298,0,0,17.105000014999998,2.42869399324547,4,3.0,2,2,asphalt
436814891,3825373107,secondary,0,70.02051086738841,0,0,27.18000031,0.916138143618312,2,2.0,1,1,asphalt
436814891,3811629192,secondary,0,257.1164853369366,0,0,24.994999890000003,0.8493242901021028,4,3.0,2,2,asphalt
436814891,3966699563,residential,0,169.5639641627587,0,0,31.18000031,1.3222288620255986,2,2.0,1,1,asphalt
436814919,3811439619,tertiary,0,57.19486000512071,0,0,24.04000092,1.575175702978027,2,2.0,1,1,paving_stones
436814919,3811524432,residential,0,83.54975226094278,0,0,22.92000008,1.575175702978027,2,2.0,1,1,paving_stones
436814919,3811439577,tertiary,0,58.01418394990058,0,0,24.255000115,1.8240229711710096,2,2.0,1,1,paving_stones
436826287,8476456955,secondary,0,356.5951536110273,0,0,17.965000155,1.2616722504253983,3,3.0,3,0,asphalt
436826287,2147567542,secondary,0,171.2678991236295,0,0,18.83500004,2.507961212512699,2,2.0,1,1,asphalt
436826287,4581782738,secondary,0,95.70544519576448,0,0,18.315000535000003,1.195140612385874,2,2.0,1,1,asphalt
436826287,436881903,secondary,0,80.99536471202913,1,0,18.075000765,3.7908892239756167,3,3.0,3,0,asphalt
