u,v,highway,oneway,length,bridge,tunnel
307924211,2930525549,residential,0,82.42929389268659,0,0
307924211,2960308646,secondary,0,9.439707279047926,0,0
307924211,3823587261,residential,0,80.61038119845557,0,0
307924211,3823587157,secondary,0,57.41659878499448,0,0
307924222,3823586881,residential,0,49.7597464422267,0,0
307924222,4576632339,residential,0,15.120144151871655,0,0
307924222,3823586981,residential,0,124.04163107020571,0,0
307924223,307924224,residential,0,20.545962659259835,0,0
307924223,3823587003,residential,0,34.683483866292626,0,0
307924223,3823587092,residential,0,22.206970840497483,0,0
307924224,3823586968,residential,0,28.877793610373125,0,0
307924224,3823587102,residential,0,62.99626194783396,0,0
307924224,307924223,residential,0,20.545962659259835,0,0
307924229,307924231,residential,0,60.309191864354275,0,0
307924229,436849320,secondary,0,45.90775807655743,0,0
307924229,3819769661,secondary,0,158.99272859229168,0,0
307924231,8373737661,residential,0,16.74264629631787,0,0
307924231,3824954306,residential,0,76.65577070739718,0,0
307924231,307924229,residential,0,60.30919186435427,0,0
307931315,5316100660,residential,0,75.79236891845916,0,0
307931315,5281648447,secondary,0,200.4454578303859,0,0
307931315,1796860673,secondary,0,155.9324166072819,0,0
352994306,3820983892,residential,0,77.60206583040298,0,0
352994306,3820983880,residential,0,71.22012206745308,0,0
352994306,436810573,secondary,0,53.112032579245096,0,0
352994306,3820983887,secondary,0,53.725076227718105,0,0
352994528,4569528547,residential,0,43.88095244407775,0,0
352994528,3823586730,residential,0,21.492191671759283,0,0
352994528,3823586800,residential,0,132.17715043452398,0,0
352994529,4571012704,residential,0,32.38203122531902,0,0
352994529,3823586800,residential,0,48.05034757218807,0,0
352994529,3823586779,secondary,0,60.171319007401316,0,0
352994529,353194433,secondary,0,89.86841538451318,0,0
352994667,3823587062,residential,0,117.13570492461963,0,0
352994667,3823587364,residential,0,232.41424039464715,0,0
352994667,3823586813,residential,0,87.1512821125726,0,0
352994671,352994767,residential,0,24.559140059457686,0,0
352994671,3823587364,residential,0,16.931532240031597,0,0
352994671,3823587787,residential,0,144.9566816363353,0,0
352994767,352994671,residential,0,24.559140059457686,0,0
352994767,3823587308,residential,0,65.41471304624642,0,0
352994767,3823587245,residential,0,147.95538383675031,0,0
352994770,3823587160,residential,0,9.07374108032566,0,0
352994770,3823587114,residential,0,26.418259125984623,0,0
352994770,3823587308,residential,0,67.94602336844511,0,0
352994772,3823586985,residential,0,35.328253458222655,0,0
352994772,3823587038,residential,0,22.212857593534068,0,0
352994772,3823587176,residential,0,108.1703730939428,0,0
353193674,3819768906,residential,0,59.9350040454487,0,0
353193674,436862060,secondary,0,90.76625622298945,0,0
353193674,3819768764,secondary,0,17.73950201976762,0,0
353193675,3819768934,residential,0,29.50595846492426,0,0
353193675,3819769063,residential,0,66.72519406305183,0,0
353193675,3819768927,residential,0,69.745136211465,0,0
353193675,3819768984,residential,0,86.34548906144454,0,0
353193678,3819769379,residential,0,184.6417401577361,0,0
353193678,353193679,residential,0,55.36874858603984,0,0
353193678,3819769234,residential,0,54.53404771307382,0,0
353193678,3819769241,residential,0,108.4118587739422,0,0
353193679,3819769399,residential,0,55.21463680469374,0,0
353193679,3819769391,residential,0,85.6025800172396,0,0
353193679,353193678,residential,0,55.36874858603984,0,0
353193679,4580258481,residential,0,121.31023690733804,0,0
353193681,3819769745,residential,0,12.933406092240418,0,0
353193681,3819769725,residential,0,19.512625377454963,0,0
353193681,3819769784,residential,0,74.35698814749725,0,0
353193681,3819769701,residential,0,36.66367921832348,0,0
353193888,4580091947,residential,0,47.25596837553313,0,0
353193888,3823586788,residential,0,57.3544400836616,0,0
353193888,4580091946,residential,0,54.33897511056014,0,0
353193929,3823589190,residential,1,56.64350522952936,0,0
353193929,3823589179,residential,0,30.925359034740715,0,0
353193929,3823589157,residential,0,31.133335998240817,0,0
353193934,3823588150,residential,0,39.84354036583286,0,0
353193934,3823588237,residential,0,44.73661811030758,0,0
353193934,3823587899,residential,0,71.48733043156942,0,0
353193934,436393825,residential,0,57.71433142324626,0,0
353193935,3823587490,residential,0,65.87013309083177,0,0
353193935,436393823,residential,0,61.901842254753284,0,0
353193935,3823587768,residential,0,39.98506174522948,0,0
353193935,3823587899,residential,0,65.72171520392719,0,0
353193936,11230505660,residential,0,66.83300626270302,0,0
353193936,3823587490,residential,0,68.08984981774584,0,0
353193936,3823587292,residential,0,30.257731039887158,0,0
353193936,3823587159,residential,0,40.47661947878908,0,0
353193937,3823587021,residential,0,46.6573633814279,0,0
353193937,353194436,residential,0,47.15123448763294,0,0
353193937,3823587159,residential,0,46.87609612921186,0,0
353194161,4584756069,residential,0,37.542546455049674,0,0
353194161,3822944449,residential,0,50.20013737053612,0,0
353194161,3822944448,residential,0,26.645787189831132,0,0
353194170,4584660347,residential,0,81.85008785872023,0,0
353194170,3820983899,residential,0,23.752412184494894,0,0
353194170,4584669561,residential,0,100.17489879352355,0,0
353194173,3820983733,primary,0,153.37852872025232,0,0
353194173,4580122456,residential,0,70.99660919543457,0,0
353194173,4584668991,primary,0,133.35238881730126,0,0
353194173,3820983699,residential,0,60.92214425873361,0,0
353194179,3823586693,residential,0,52.075647112164205,0,0
353194179,4580111217,residential,0,44.796131557634,0,0
353194179,3823586630,residential,0,43.63581667376219,0,0
353194179,3823586762,residential,0,132.59325541439375,0,0
353194204,448305113,residential,0,66.4321655459533,0,0
353194204,4584660347,residential,0,125.82907389495061,0,0
353194204,3820983740,residential,0,40.70288418791434,0,0
353194285,3823586736,residential,0,56.025458600958245,0,0
353194285,4576599793,residential,0,61.26960355003165,0,0
353194285,3823586713,residential,0,29.80885410045718,0,0
353194290,4580111220,residential,0,131.81905308074727,0,0
353194290,353194452,residential,0,43.35338799122612,0,0
353194290,3823585033,residential,0,44.202952617689775,0,0
353194290,4580124729,residential,0,76.18906748719236,0,0
353194291,3819769262,residential,0,59.87862073158307,0,0
353194291,3823585013,residential,0,75.17400924818303,0,0
353194291,3819769172,primary,0,92.81287337977517,0,0
353194291,449448860,primary,0,134.0629465738062,0,0
353194304,4571013948,residential,0,22.673493800009513,0,0
353194304,3823585038,residential,0,83.28224840743366,0,0
353194304,3823586288,residential,0,34.90638433717823,0,0
353194304,3823585044,residential,0,48.3336554596129,0,0
353194305,4576599795,residential,0,42.79347847621347,0,0
353194305,3823585034,residential,0,33.39806469994509,0,0
353194305,3823585040,residential,0,48.15634413399077,0,0
353194305,3823585044,residential,0,47.348788578866404,0,0
353194378,3823588635,residential,0,28.15483466648481,0,0
353194378,11230505704,residential,0,59.84613484093257,0,0
353194378,3823588390,residential,0,82.13047982204785,0,0
353194378,2930525553,residential,0,80.27532467884866,0,0
353194380,3823588162,residential,0,29.026409608008755,0,0
353194380,3823588184,residential,0,26.1109042299316,0,0
353194380,3823587915,residential,0,69.36703869208588,0,0
353194380,3823588368,residential,0,61.324140897321556,0,0
353194381,3823587687,residential,0,31.381373995193957,0,0
353194381,3823587768,residential,0,76.34907015931684,0,0
353194381,3823587840,residential,0,37.65234263003282,0,0
353194381,353194408,residential,0,68.77357936583428,0,0
353194384,3823587115,residential,0,29.22354653197276,0,0
353194384,3823586991,residential,0,46.54563423231889,0,0
353194384,3823587096,residential,0,17.618878344794854,0,0
353194384,3823587260,residential,0,50.78714131415605,0,0
353194399,353194400,residential,0,78.44328619589236,0,0
353194400,3823588780,residential,0,29.943555546030456,0,0
353194400,3823588774,residential,0,79.98461349187578,0,0
353194400,353194399,residential,0,78.44328619589236,0,0
353194404,4627448364,residential,0,28.49426231824015,0,0
353194404,3823588629,residential,0,71.567741902271,0,0
353194404,3823588216,residential,0,68.08124891750893,0,0
353194404,3823588427,residential,0,23.413293665800712,0,0
353194407,4580091944,residential,0,1.996871801128209,0,0
353194407,353194408,residential,0,112.58471903843656,0,0
353194407,3823588098,residential,0,24.473866580648934,0,0
353194408,3823587705,secondary,0,32.14842598693334,0,0
353194408,3823587699,residential,0,38.631794629578465,0,0
353194408,353194407,residential,0,112.58471903843657,0,0
353194408,3823587921,secondary,0,66.01617985876379,0,0
353194408,353194381,residential,0,68.77357936583428,0,0
353194433,3823586899,residential,0,61.52942072151734,0,0
353194433,4569528556,residential,0,31.32629935818133,0,0
353194433,352994529,secondary,0,89.86841538451318,0,0
353194433,3823587060,secondary,0,66.99099914435652,0,0
353194435,4580091945,residential,0,46.19411747434453,0,0
353194435,3823586938,residential,0,63.226543540599195,0,0
353194435,3823586899,residential,0,52.56751055232547,0,0
353194435,3823586991,residential,0,47.016380457751076,0,0
353194436,3823586953,residential,0,18.48739982884425,0,0
353194436,353193937,residential,0,47.15123448763294,0,0
353194436,436393814,residential,0,67.42625298439336,0,0
353194436,4580091946,residential,0,47.30582542876522,0,0
353194443,4580091947,residential,0,33.20453591637981,0,0
353194443,4580111223,residential,0,80.07813335245761,0,0
353194443,10678122489,residential,0,72.1133184214182,0,0
353194452,4580124732,residential,0,104.91447124668798,0,0
353194452,353194290,residential,0,43.35338799122612,0,0
353194452,3823585013,residential,0,37.35313272369756,0,0
353194452,4580111219,residential,0,130.4515725078419,0,0
353194455,4580091948,residential,0,41.651579896777456,0,0
353194455,3279011096,residential,0,80.77497229060266,0,0
353194455,3823586589,residential,0,22.12204523919293,0,0
353194455,3823586641,residential,0,39.18637937778448,0,0
353194538,436877345,residential,0,37.13924569565259,0,0
353194538,3819769454,residential,0,113.1815546535702,0,0
353194538,3819769379,residential,0,69.25983125401993,0,0
353194574,353194575,residential,0,28.86449898635129,0,0
353194574,3819769251,residential,0,44.95721410003228,0,0
353194574,3819769192,residential,0,48.57476753594658,0,0
353194574,3819769303,residential,0,65.94427576434647,0,0
353194575,3819769256,residential,0,23.547404787827787,0,0
353194575,353194574,residential,0,28.86449898635129,0,0
353194575,3819769185,residential,0,58.17928124431723,0,0
353195076,4580235124,residential,0,13.065384585674405,0,0
353195076,3819769237,residential,0,83.96279761962309,0,0
353195076,3819769254,residential,0,54.97781691147617,0,0
353195076,3819769325,residential,0,66.42509739506606,0,0
353195079,3819769514,residential,0,51.21948669131018,0,0
353195079,4580235126,residential,0,147.56704158875,0,0
353195079,3819769438,residential,0,75.6073270762012,0,0
353195149,10682086096,residential,0,68.25509937075108,0,0
353195149,4580238966,residential,0,47.23832105872225,0,0
353195149,4580238967,residential,0,92.97742407047522,0,0
353195149,4580235126,residential,0,83.78794632432228,0,0
353195249,4580205470,residential,0,33.78394584189756,0,0
353195249,3819769182,residential,0,131.0877757688012,0,0
353195249,3819769163,secondary,0,91.85242148106559,0,0
353195249,436849310,secondary,0,38.08397527785979,0,0
356265537,356265595,residential,0,57.804247482158246,0,0
356265537,3823587243,residential,0,39.051363444309224,0,0
356265537,356265539,residential,0,128.7757475956544,0,0
356265539,356265537,residential,0,128.7757475956544,0,0
356265539,356265541,residential,0,63.55262998455723,0,0
356265539,1000121012,residential,0,79.9821776783129,0,0
356265541,3824954608,residential,0,28.929940489736314,0,0
356265541,3824954614,residential,0,109.24395981368603,0,0
356265541,356265539,residential,0,63.55262998455723,0,0
356265545,3824954614,residential,0,61.867965184641534,0,0
356265595,436862401,residential,0,34.782739608742894,0,0
356265595,1000121012,residential,0,197.78092617284335,0,0
356265595,356265537,residential,0,57.804247482158246,0,0
356265775,3819769955,residential,0,10.406824952366138,0,0
356265778,3819770001,residential,0,29.919253785845672,0,0
356265778,3819769956,residential,0,62.82485200669658,0,0
356265778,3819769955,residential,0,77.46255051611469,0,0
356265778,3819770025,residential,0,54.12857334243883,0,0
356265790,8479080812,residential,0,5.705921037779574,0,0
356265790,3819769956,residential,0,23.397454402401504,0,0
356265790,3819769908,residential,0,76.77724295386781,0,0
356265929,3819769997,residential,0,108.74972685082174,0,0
356265929,3819770031,residential,0,27.87544020709464,0,0
356265929,3819770045,residential,0,16.298645334993843,0,0
356266006,437007224,residential,0,90.43834814639268,0,0
357938663,1778603974,residential,0,170.2252195158118,0,0
414683392,3811554590,primary,0,190.91272229808314,0,0
414683392,3822999249,primary,0,98.39019409314477,0,0
414683392,3811554546,secondary,1,82.35687022048853,0,0
414683392,3891198185,primary,0,95.32012249467061,0,0
414683392,4584756068,secondary,0,92.32521434493815,0,0
414683404,4584756059,secondary,0,81.13728052324143,0,0
414683404,3819767939,primary,0,41.988266584953806,0,0
414683404,3819767980,secondary,0,81.36269999677563,0,0
414683404,3819768014,primary,0,66.79194888146117,0,0
414686051,3811441429,tertiary,1,127.32374177213357,0,0
414686051,8474088616,secondary,0,32.17193978143777,0,0
414686051,8474080313,secondary,0,40.09486510858552,0,0
414686051,3811066895,secondary,0,27.931514975901493,0,0
414686051,8474088613,secondary,0,24.475916997776412,0,0
414686089,3823348819,secondary,0,65.00279209521206,0,0
414686089,8499543698,secondary,0,44.473825483760635,0,0
414686089,3823348859,secondary,0,56.467814511173934,0,0
414686095,3811078663,secondary,0,104.82565660429256,0,0
414686095,3811078667,secondary,0,30.119596807265268,0,0
414686095,3811327172,secondary,0,76.86502966132755,0,0
414686095,436867920,secondary,0,67.247335177479,0,0
414686099,2309932453,secondary,0,121.19910901158994,0,0
414686099,3811327176,secondary,0,78.96752711064441,0,0
414686099,436867695,secondary,0,72.17252714567238,0,0
414686099,436845034,secondary,0,93.5957630138879,0,0
414686117,436810550,secondary,0,70.26451513119187,0,0
414686117,436862027,secondary,0,69.75469085132063,0,0
414686117,436776303,secondary,0,29.894892000936274,0,0
414686117,3820984140,secondary,0,54.01802546140736,0,0
