osmid,y,x
307924211,37.6213875,126.926285
307924222,37.6203,126.9224374
307924223,37.6214211,126.924398
307924224,37.6212658,126.9245244
307924229,37.6177787,126.9331597
307924231,37.6180759,126.9336742
307931315,37.6423559,126.9386108
352994306,37.6104919,126.9111565
352994528,37.6189408,126.9158887
352994529,37.6201772,126.9161307
352994667,37.6206333,126.9127853
352994671,37.6225467,126.9114123
352994767,37.6226416,126.9116641
352994770,37.6217532,126.912508
352994772,37.6213267,126.9139437
353193674,37.6109795,126.9217541
353193675,37.6119322,126.9217782
353193678,37.614451,126.9224224
353193679,37.6149244,126.9222533
353193681,37.6169693,126.9205336
353193888,37.6200884,126.9194323
353193929,37.6286325,126.9164719
353193934,37.6246089,126.9192223
353193935,37.6233784,126.9191059
353193936,37.6221791,126.9189655
353193937,37.6214031,126.919119
353194161,37.6010186,126.9136379
353194170,37.6096408,126.9126636
353194173,37.6128773,126.9139503
353194179,37.6183063,126.9174045
353194204,37.6113697,126.9118707
353194285,37.618514,126.9104445
353194290,37.6148467,126.9162001
353194291,37.6142017,126.9177713
353194304,37.6156618,126.910728
353194305,37.615296,126.9116883
353194378,37.6259144,126.9193428
353194380,37.6246457,126.9178689
353194381,37.6234041,126.9177855
353194384,37.6216178,126.9176947
353194399,37.6267195,126.9114004
353194400,37.6266892,126.9122903
353194404,37.6251673,126.9154096
353194407,37.6243451,126.9164162
353194408,37.6234608,126.9170079
353194433,37.6209234,126.9165167
353194435,37.6207779,126.9177507
353194436,37.6209844,126.9192037
353194443,37.6194356,126.9198257
353194452,37.6146622,126.9166337
353194455,37.6177557,126.9186937
353194538,37.6150568,126.9249859
353194574,37.6140467,126.9197669
353194575,37.6140466,126.9200946
353195076,37.6145723,126.9309841
353195079,37.6163134,126.931262
353195149,37.618162,126.9319473
353195249,37.612434,126.9319501
356265537,37.6223053,126.9323475
356265539,37.6227044,126.9337184
356265541,37.6226808,126.9344148
356265545,37.6230087,126.936063
356265595,37.6224152,126.9317062
356265775,37.6189823,126.9263291
356265778,37.6193479,126.9254877
356265790,37.6189122,126.9246784
356265929,37.6199925,126.9244597
356266006,37.6204617,126.9287469
357938663,37.6408501,126.9431637
414683392,37.5990591,126.9156862
414683404,37.6058587,126.915409
414686051,37.5900063,126.9172194
414686089,37.598033,126.9101128
414686095,37.600477,126.9223681
414686099,37.6014833,126.9271465
414686117,37.6054988,126.9105225
414686130,37.6088364,126.9313127
414687711,37.6137238,126.9116328
436393673,37.5856674,126.9115418
436393685,37.5877179,126.9128376
436393741,37.60799,126.91539
436393765,37.6103175,126.9168895
436393814,37.6210903,126.9199575
436393823,37.6233478,126.9198077
436393825,37.6245883,126.9198771
436776296,37.60491,126.90734
436776298,37.60506,126.90791
436776301,37.6054,126.90948
436776302,37.60544,126.90976
436776303,37.6054754,126.9101845
436810154,37.58567,126.92277
436810192,37.5960661,126.9096793
436810541,37.5990368,126.9102031
436810544,37.6004701,126.9102787
436810546,37.601992,126.9103387
436810550,37.6048677,126.9104823
436810570,37.60825,126.91086
436810572,37.60912,126.91097
436810573,37.6100173,126.9110885
436810669,37.6268637,126.9198102
436810671,37.6268975,126.9199636
436839039,37.5889973,126.9149398
436845028,37.5971009,126.9242438
436845029,37.5982209,126.9252838
436845034,37.6006465,126.9270318
436849310,37.6120965,126.9318766
436849314,37.6157736,126.9329756
436849320,37.6181887,126.9330995
436849329,37.62254,126.93118
436849346,37.5803974,126.9059228
436849377,37.5823683,126.9054843
436849378,37.5833173,126.9063608
436849379,37.5844173,126.9073789
436849380,37.5851196,126.9080307
436849381,37.58526,126.9082366
436849383,37.5857184,126.909357
436849384,37.5859545,126.9099334
436849385,37.5861973,126.9103344
436849386,37.5863451,126.9104792
436849387,37.5872966,126.9112718
436849390,37.5887908,126.912547
436854170,37.6063442,126.9229316
436854182,37.6105466,126.9183357
436854196,37.6144118,126.9099424
436854199,37.61548,126.90858
436854200,37.61612,126.90777
436854204,37.61723,126.90667
436857321,37.5795258,126.899672
436857328,37.5827517,126.8943331
436857342,37.5870422,126.8871031
436862027,37.6055481,126.9113112
436862028,37.60561,126.91204
436862030,37.6057411,126.9136733
436862033,37.60595,126.91672
436862040,37.60668,126.91891
436862044,37.60762,126.91969
436862050,37.6099,126.92151
436862060,37.61162,126.92238
436862065,37.61269,126.92359
436862068,37.6147632,126.9260636
436862217,37.62468,126.92858
436862266,37.6386004,126.939061
436862401,37.62232,126.93133
436862858,37.60301,126.92688
436862872,37.6075702,126.9324893
436863965,37.5886958,126.913939
436863973,37.5892501,126.9107963
436863977,37.5903568,126.9093197
436867695,37.60156,126.92796
436867696,37.6015367,126.9284028
436867699,37.60137,126.93011
436867702,37.60104,126.93341
436867704,37.6008778,126.935759
436867708,37.5853676,126.8994079
436867711,37.59085,126.9052523
436867716,37.5921711,126.9064792
436867900,37.5938635,126.9180869
436867902,37.5948935,126.9183608
436867920,37.5999511,126.9219922
436867927,37.6056474,126.9225767
436867937,37.5929321,126.9230184
436867938,37.5932202,126.9223504
436873808,37.6028542,126.9211543
436873822,37.607658,126.9243214
436873826,37.6085136,126.9259975
436873827,37.6087742,126.926352
436873829,37.6090796,126.927178
436873831,37.6087993,126.9279134
436877321,37.6039943,126.9347967
436877328,37.60682,126.9332
436877345,37.6152832,126.9252959
436943855,37.643078,126.9215319
437007224,37.6212297,126.9286623
439650103,37.6506206,126.9455399
439650117,37.6551084,126.9493493
439650216,37.6532256,126.9395401
445329900,37.6159647,126.9329652
448305113,37.611804,126.9113528
449448788,37.6164307,126.9188349
449448820,37.6169009,126.9175733
449448824,37.6189747,126.9189731
449448860,37.6153575,126.9181341
449448862,37.6162178,126.916131
449449055,37.610686,126.9312304
449449056,37.6109734,126.9317532
449449069,37.609943,126.9318579
449449459,37.6171207,126.9228846
457819071,37.6111982,126.9300404
457819073,37.6103974,126.9306942
457819074,37.6096714,126.9313282
1000121012,37.6233918,126.9334555
1104187221,37.5926492,126.9139981
1104187222,37.5886986,126.9130347
1104187224,37.584534,126.9103298
1133534458,37.5821373,126.8954209
1133534464,37.5813164,126.9044903
1133534467,37.5855375,126.9088976
1778603974,37.6412607,126.9413399
1796860631,37.6405136,126.9388772
1796860655,37.6414354,126.9409645
1796860673,37.6411583,126.9377062
1796860683,37.6423339,126.9395928
1988538666,37.6312913,126.9216614
1988538673,37.6334547,126.9192508
1988538675,37.6344918,126.9171494
2288721301,37.5918147,126.8858908
2288721308,37.59128,126.8829315
2288721312,37.5914768,126.8838707
2288721324,37.5909305,126.8825891
2291480287,37.6344794,126.9169866
2291480298,37.6397713,126.9164206
2291480312,37.6287069,126.9194753
2291480318,37.6458043,126.9092296
2291480334,37.6286966,126.9192717
2292697262,37.6112972,126.9172608
2309932402,37.6082954,126.9266713
2309932419,37.6036095,126.9253029
2309932422,37.6035963,126.9265201
2309932435,37.6010111,126.933805
2309932436,37.6021161,126.931987
2309932437,37.6011916,126.9318376
2309932438,37.6027427,126.9302607
2309932440,37.6014321,126.9294277
2309932441,37.6020883,126.9294537
2309932442,37.6020202,126.930164
2309932443,37.602088,126.9292387
2309932444,37.6019393,126.9293595
2309932449,37.6022735,126.9285653
2309932452,37.6015897,126.9224595
2309932453,37.6023817,126.9263675
2309932454,37.6017239,126.9205787
2309932455,37.6030618,126.9234092
2309932457,37.6036676,126.9252525
2309932459,37.6017733,126.9233039
2309932460,37.6007441,126.9236365
2309932461,37.6022533,126.9254991
2309932462,37.601208,126.9258391
2309932463,37.6029407,126.9219456
2309932467,37.6061976,126.9181196
2309932468,37.6041325,126.9156257
2309932472,37.6039942,126.9217349
2309932473,37.6024072,126.9158274
2329649129,37.584385,126.920219
2329649132,37.5847435,126.9194542
2329649134,37.585311,126.9192388
2329649144,37.5853548,126.9166453
2523199336,37.6002704,126.9188949
2593848699,37.6564228,126.947979
2593848710,37.65657,126.9481971
2593848724,37.6553151,126.9497747
2718597734,37.6315533,126.9261469
2930525549,37.6220137,126.9257841
2930525553,37.6266123,126.9191282
2960308565,37.621337,126.9267298
2960308646,37.62132,126.92622
2960308649,37.6216467,126.9333437
2960309144,37.6188864,126.9214772
2960309145,37.6191858,126.9223074
2960309741,37.6148801,126.9262114
3004846041,37.6122415,126.9280513
3004846049,37.6101683,126.9256146
3004846056,37.6088997,126.9238563
3004846059,37.6076534,126.921712
3278844686,37.617016,126.9230187
3279011082,37.6119371,126.9313121
3279011087,37.6142157,126.9322917
3279011096,37.617417,126.919505
3279011105,37.619635,126.9322249
3811066658,37.5861988,126.9221347
3811066659,37.5863936,126.9226018
3811066660,37.5864203,126.9227461
3811066661,37.5865302,126.9217153
3811066663,37.5868973,126.9212453
3811066671,37.5872428,126.9207996
3811066673,37.5872704,126.9220568
3811066677,37.5873307,126.9223826
3811066679,37.5873536,126.9212361
3811066681,37.5873703,126.9218085
3811066682,37.5873832,126.9227172
3811066683,37.5873907,126.9213843
3811066684,37.5873972,126.9210081
3811066686,37.5874404,126.9217388
3811066698,37.5877161,126.9205443
