u,v,highway,oneway,length,bridge,tunnel
287630237,2451940610,residential,0,55.091747007038116,0,0
287630237,2139941906,residential,0,62.1456815974133,0,0
287630237,3867926925,residential,0,47.049753439603734,0,0
355129296,355129297,tertiary,0,60.955064505144286,0,0
355129296,3494544694,tertiary,0,111.2020190176736,0,0
355129296,3494544693,tertiary,0,107.55000248632732,0,0
355129296,355799510,tertiary,0,125.78669664945986,0,0
355129297,4634390513,residential,0,34.550798993888456,0,0
355129297,355129296,tertiary,0,60.95506450514428,0,0
355129297,356653358,residential,0,245.06755697708266,0,0
355129297,355129299,tertiary,0,176.6641877780687,0,0
355129299,357763810,residential,0,110.50688392101068,0,0
355129299,355799509,tertiary,0,64.67679957824313,0,0
355129299,355129297,tertiary,0,176.66418777806874,0,0
355129299,4634390513,residential,0,160.57065888079563,0,0
355129515,355432281,residential,1,120.87313391533964,0,0
355129515,355433091,residential,0,80.1320205149395,0,0
355129518,436840344,tertiary,0,58.954904614318075,0,0
355129518,6584019687,residential,0,122.7030284613283,0,0
355129518,355798666,residential,0,118.02781225269723,0,0
355129518,4634390383,tertiary,0,69.99154068964232,0,0
355129675,355433089,residential,0,91.82662723177567,0,0
355129675,355129854,residential,1,163.5433123119783,0,0
355129678,387154859,residential,0,9.289535962324903,0,0
355129678,387154947,residential,0,178.93410222987063,0,0
355129678,387154920,residential,0,71.33586516140032,0,0
355129854,355433088,residential,0,94.97690623275756,0,0
355129854,6583346926,residential,1,166.06859155440264,0,0
355432281,2930463921,residential,1,85.16393509069812,0,0
355432281,355129675,residential,1,119.7374009542834,0,0
355432282,355799976,residential,0,108.10209395397048,0,0
355432282,2374750053,tertiary,0,119.84237274079894,0,0
355432282,2930463922,tertiary,0,119.97209269216899,0,0
355432430,355129515,residential,1,123.86760619952054,0,0
355432430,355433092,residential,0,61.41674384754643,0,0
355432431,355432936,residential,0,106.69686923316723,0,0
355432431,355800598,residential,0,107.34016683841921,0,0
355432431,355798263,tertiary,0,89.57494642491936,0,0
