osmid,y,x
287630237,37.5399001,126.9427088
355129296,37.556104,126.8989548
355129297,37.556588,126.8986437
355129299,37.5580555,126.8985116
355129515,37.562023,126.9012636
355129518,37.5577629,126.9042761
355129675,37.561049,126.8988261
355129678,37.5544295,126.9024099
355129854,37.560349,126.8971983
355432281,37.5615274,126.9000431
355432282,37.5594226,126.9015425
355432430,37.5624188,126.9025772
355432431,37.5604973,126.9039408
355432933,37.5597262,126.8997581
355432934,37.5602525,126.9009518
355432935,37.5607875,126.9021359
355432936,37.5613309,126.9033413
355432938,37.5616779,126.9041125
355432939,37.5620328,126.9047326
355433088,37.5596089,126.8977362
355433089,37.560326,126.8993295
355433091,37.5613923,126.9017034
355433092,37.5619362,126.9029161
355798263,37.5608952,126.9048244
355798268,37.5578962,126.9075422
355798664,37.5588589,126.9051044
355798665,37.5583662,126.9054519
355798666,37.5580395,126.9055688
355798962,37.55836,126.9071179
355798964,37.5572013,126.901554
355798965,37.5569092,126.900164
355799509,37.5583454,126.8991477
355799510,37.5563945,126.9003339
355799678,37.5575064,126.8997436
355799975,37.5580496,126.9009559
355799976,37.5585737,126.9021402
355799977,37.5591114,126.9033223
355800480,37.5589939,126.9065419
355800597,37.5601909,126.9054568
355800598,37.5596562,126.9045384
356651268,37.56141,126.9059978
356653356,37.5557428,126.8972587
356653358,37.5557309,126.8970342
356653359,37.5556265,126.8970465
357763810,37.5590103,126.8981638
387153848,37.541651,126.932108
387153860,37.5372929,126.9407589
387154319,37.5468634,126.9089437
387154517,37.5468732,126.9075009
387154518,37.5474374,126.9082038
387154698,37.5462793,126.9082945
387154700,37.545984,126.9089581
387154705,37.5466456,126.9102429
387154712,37.5486222,126.9080712
387154717,37.5486902,126.9060418
387154858,37.554944,126.9052131
387154859,37.5543735,126.9024881
387154916,37.5560921,126.907328
387154918,37.5556186,126.9049914
387154920,37.5550473,126.9022579
387154947,37.5554673,126.9008586
387154950,37.5562777,126.9047718
387154951,37.5567892,126.907205
387154952,37.5562609,126.9087512
387154953,37.5556561,126.9095618
414683348,37.5733661,126.8989059
414685214,37.5455648,126.9319373
414685225,37.54663,126.94077
414685256,37.5500071,126.9329604
414685337,37.55806,126.9083222
414685342,37.5589415,126.912556
414685882,37.5677597,126.9159482
414685926,37.57303,126.88814
414685930,37.5741536,126.8865008
414685968,37.5774323,126.8808736
414685975,37.5782114,126.8905855
436393603,37.5624624,126.8990321
436393611,37.56586,126.89917
436393613,37.56627,126.89917
