u,v,highway,oneway,length,bridge,tunnel
352993164,4581738307,residential,0,109.4929341715247,0,0
352993164,5756267873,primary,1,175.94887490318163,0,0
355173024,11296428354,primary,1,80.30323778822391,0,0
414685905,5756267850,secondary,0,48.05244971012861,0,0
414685905,5643497455,primary,1,121.85789860648984,0,0
414685905,10726078219,secondary,0,12.736793595274875,0,0
414685935,11942035571,secondary,0,11.43100674627547,0,0
414685935,3966543491,primary,1,299.4026804934486,0,0
414685991,10784761077,secondary,0,13.886237602222325,0,0
414685991,3820786216,residential,0,89.27619185273596,0,0
414685991,3820786220,secondary,0,69.24564444359216,0,0
414685991,436862488,secondary,0,64.8284362722169,1,0
414688091,3825311808,secondary,0,50.381990062660584,0,0
414688091,2329649097,secondary,0,143.63322563544574,0,0
414688091,3785058257,secondary,0,82.73114949862392,0,0
436810135,3811440480,residential,0,78.76093393116987,0,0
436810135,3811440589,secondary,0,207.76335579826255,0,0
436810135,3811440402,secondary,0,33.40670598823779,0,0
436814857,3811629441,secondary,0,47.06205664316512,0,0
436814857,4581906962,tertiary,0,54.62446624153162,0,0
436814857,3459655803,secondary,0,175.57701300290594,0,0
436814857,3811629414,secondary,0,96.09130713930298,0,0
436814891,3825373107,secondary,0,70.02051086738841,0,0
436814891,3811629192,secondary,0,257.1164853369366,0,0
436814891,3966699563,residential,0,169.5639641627587,0,0
436814919,3811439619,tertiary,0,57.19486000512071,0,0
436814919,3811524432,residential,0,83.54975226094278,0,0
436814919,3811439577,tertiary,0,58.014183949900584,0,0
436826287,8476456955,secondary,0,356.5951536110273,0,0
436826287,2147567542,secondary,0,171.2678991236295,0,0
436826287,4581782738,secondary,0,95.70544519576447,0,0
436826287,436881903,secondary,0,80.99536471202913,1,0
436826294,3825373107,secondary,0,41.63290960997928,0,0
436826294,8474214596,secondary,0,27.012854263394182,0,0
436826294,3825373129,tertiary,0,80.47927474517454,0,0
436826294,3811512524,secondary,0,84.0854482451117,0,0
436830235,4581737686,secondary,0,42.116340541398,0,0
436830235,5756267850,secondary,0,50.738186540225605,0,0
436830235,4581737685,residential,0,162.7650775218307,0,0
436830235,5643497454,residential,0,167.3168292775287,0,0
436837189,3825309972,tertiary,0,71.29701479233107,0,0
436837189,2330771264,residential,0,73.97792953159741,0,0
436837189,3785057934,tertiary,0,86.44636279810075,0,0
436837189,4589999127,residential,0,55.29422615816026,0,0
436837191,436837192,secondary,0,79.14635564484541,0,0
436837191,3825310104,tertiary,0,22.820683986439686,0,0
436837191,3825310381,residential,0,150.34358177113577,0,0
436837191,436873059,secondary,0,52.058779806270856,0,0
436837192,436837191,secondary,0,79.14635564484541,0,0
436837192,3825310086,secondary,0,21.442782193306428,0,0
436837192,3825309973,secondary,0,101.21886607944228,0,0
436841150,3860578465,residential,0,23.46779738134309,0,0
436841150,3864845758,residential,0,33.22184565613039,0,0
436841150,3864845156,tertiary,0,41.36133374650093,0,0
436841150,3864845761,tertiary,0,54.400039951499885,0,0
436841153,3864845761,tertiary,0,37.494698758157384,0,0
436841153,3310757859,residential,0,58.29735665925904,0,0
436841153,3864845762,secondary,0,38.21991645820887,0,0
436841153,3860578462,secondary,0,22.706590444712738,0,0
436841517,3811434985,secondary,0,73.86436553282059,0,0
