osmid,y,x
352993164,37.5687258,126.9161036
355173024,37.5743235,126.9580225
414683302,37.5576097,126.9597016
414685905,37.5703235,126.9128799
414685935,37.5742549,126.9059745
414685991,37.5803,126.93616
414688091,37.57636,126.93546
436810135,37.58321,126.92524
436814857,37.5778735,126.9096813
436814891,37.5751698,126.9165044
436814919,37.5789695,126.9231413
436826287,37.5722,126.92148
436826294,37.5748658,126.9177041
436830235,37.5710537,126.9135184
436837189,37.5672372,126.9302418
436837191,37.5691072,126.9317414
436837192,37.56851,126.93223
436841150,37.55904,126.9394
436841153,37.5591266,126.9404251
436841517,37.57629,126.9271
436841537,37.5785377,126.9313804
436841577,37.5818252,126.9361891
436841630,37.58548,126.94567
436848857,37.5622556,126.9556482
436848861,37.56374,126.95419
436848862,37.5639913,126.9538589
436848863,37.5643032,126.9535157
436849340,37.5766849,126.9033716
436854118,37.561573,126.9674427
436855674,37.5624454,126.9314189
436855693,37.5609497,126.94114
436855694,37.5613649,126.9415888
436855704,37.5686586,126.9486162
436855961,37.5921067,126.9432549
436855964,37.5917983,126.9447411
436855965,37.592038,126.945735
436855970,37.5929478,126.9473951
436855974,37.5955104,126.9487833
436855975,37.5963978,126.9492051
436855980,37.5968378,126.9501451
436855994,37.5965345,126.9533803
436855998,37.5958978,126.9558751
436857354,37.5706734,126.9118823
436859663,37.5591382,126.9426968
436859669,37.559188,126.9456887
436862121,37.566632,126.9216702
436862293,37.5576709,126.936937
436862442,37.5638131,126.928613
436862443,37.5642807,126.9289412
436862472,37.57256,126.93539
436862474,37.572857,126.9355052
436862475,37.5730603,126.9355524
436862477,37.573845,126.935584
436862478,37.57446,126.93546
436862485,37.5788354,126.9360678
436862488,37.579717,126.9361584
436862499,37.58649,126.93486
436867864,37.5824453,126.9132586
436868019,37.5657524,126.9667426
436868022,37.568517,126.9640503
436868025,37.570872,126.9616311
436868033,37.5804925,126.952082
436868035,37.5812888,126.9509154
436868037,37.5827068,126.9501277
436868040,37.5837669,126.9494133
436868044,37.5849743,126.9481868
436868047,37.5870156,126.946381
436868048,37.5881956,126.94479
436868050,37.588673,126.9441807
436868052,37.5902102,126.9423917
436868053,37.5910381,126.9416746
436873059,37.5695,126.93142
436873061,37.57027,126.93077
436873073,37.5749422,126.926816
436873079,37.5766624,126.9251236
436873092,37.5776646,126.9212854
436873114,37.5801278,126.9160481
436873123,37.58172,126.91417
436873132,37.58404,126.91102
436877301,37.5944922,126.9407294
436881903,37.57171,126.92216
436881915,37.5751133,126.9266918
436881922,37.5677971,126.9179029
445343537,37.5658697,126.9665825
653216979,37.5879366,126.9364273
653216981,37.5883937,126.9358922
653216999,37.5906829,126.9409683
1133534462,37.5862195,126.9469603
1133534478,37.5799067,126.9066542
1149288246,37.5712173,126.9561534
1149288292,37.5724235,126.9600045
1149288309,37.5722023,126.9599566
1149547143,37.5717443,126.9596904
1149547145,37.5721117,126.960277
1833773865,37.5825529,126.9495785
1833774952,37.583122,126.9498821
1833774953,37.5831976,126.9486935
1833774955,37.5832639,126.9485306
1833774982,37.5844624,126.9487483
1833778320,37.5859459,126.9465164
1833781045,37.5828269,126.9477433
1833781054,37.5836079,126.9467552
1833781062,37.5839855,126.9472741
1837583961,37.582088,126.9434327
1837583967,37.5824639,126.9433048
1837583970,37.5824637,126.9417435
1837583984,37.5827358,126.9421571
1837583992,37.582853,126.9433098
1837583995,37.5828938,126.94241
1837583999,37.5829399,126.9427392
1837584001,37.582957,126.9440538
1837584004,37.5829969,126.9436483
1837584006,37.5830003,126.9430275
1837584008,37.5830277,126.944613
1837584015,37.5831146,126.9436964
1837584017,37.5831316,126.9434501
1837584019,37.5831543,126.9445051
1837584027,37.5832033,126.9426341
1837584031,37.5832356,126.9431368
1837584033,37.5832417,126.9437255
1837584047,37.5834073,126.9448734
1837584057,37.5836029,126.9446433
1837584059,37.5836095,126.9420489
1837584061,37.5836782,126.9450736
1837584072,37.583759,126.9449753
1837584075,37.5837706,126.9448295
1837584080,37.5838054,126.9420592
1837584093,37.5839198,126.9438808
1837584121,37.5840363,126.9444689
1837584159,37.5843075,126.9453177
1837584173,37.5841605,126.9446984
1837584180,37.5844229,126.9437315
1838470238,37.5774065,126.9498683
1838470623,37.5806902,126.9515641
1838474855,37.5796163,126.9527869
1912547346,37.5725167,126.9336965
1912547349,37.5721858,126.9334327
1912547353,37.5734131,126.9346903
1912547357,37.5727548,126.9338789
1912549259,37.5724754,126.9343698
1912549265,37.5713517,126.9335141
1936511359,37.5574896,126.9562089
1936511489,37.5645552,126.9657951
1936511522,37.5655361,126.966295
1967751500,37.5766188,126.9555885
2064262644,37.5756967,126.9542795
2064295230,37.5716249,126.9590351
2147528494,37.5680668,126.9481791
2147528498,37.565154,126.9290723
2147528503,37.567246,126.94713
2147528525,37.5649046,126.9293949
2147528533,37.5682381,126.94781
2147528535,37.5659751,126.9272643
2147528539,37.5635045,126.9302889
2147528569,37.5686691,126.947662
2147528582,37.5649305,126.9515711
2147528590,37.566398,126.9510662
2147528623,37.5646791,126.9297033
2147528627,37.5600024,126.9393206
2147567526,37.5727712,126.9229124
2147567536,37.589655,126.937893
2147567542,37.5732905,126.9228524
2147567559,37.5718424,126.9215545
2147567562,37.5767396,126.9201115
2147567569,37.5776201,126.9314635
2147567579,37.5962117,126.9545619
2147567580,37.5950819,126.9491309
2147567593,37.5899943,126.9386033
2147567601,37.5866025,126.9354734
2147567603,37.5933026,126.9456296
2147567613,37.587111,126.9354702
2147567617,37.569604,126.9180565
2147567622,37.5945495,126.9482866
2237153678,37.5576842,126.9363021
2237153682,37.558139,126.9349503
2237153687,37.5585301,126.9349849
2237153689,37.5589266,126.9349873
2237153691,37.5589616,126.9363464
2237153692,37.5590192,126.9345322
2237153694,37.5591184,126.9344757
2237153695,37.5592557,126.9344082
2291747512,37.5815592,126.9268901
2291782294,37.5808381,126.912048
2300585354,37.5871015,126.9367982
2300585356,37.5837223,126.9370918
2300585359,37.5859812,126.937415
2300585363,37.5855696,126.9369505
2300585367,37.5843094,126.9367838
2300585371,37.5871652,126.936414
2300585373,37.5872559,126.9359791
2305283328,37.597499,126.9464354
2305283386,37.5977985,126.9466136
2305283390,37.5990864,126.9476645
2305283396,37.5993784,126.948443
2305283399,37.6003043,126.9488822
2305283401,37.6011183,126.9491665
2305283406,37.6017428,126.9492253
2305283425,37.6053297,126.9498567
2305283429,37.6060473,126.9507531
2317896077,37.5605118,126.9333324
2317896079,37.5598084,126.9404201
2317915299,37.5846854,126.9390275
2322078614,37.5794403,126.9383487
2322078615,37.5779016,126.9393702
2329648756,37.557936,126.9563118
2329648762,37.5582758,126.9593742
2329648764,37.5583781,126.9601293
2329648772,37.5573727,126.9543961
2329648773,37.5578415,126.9543525
2329648783,37.5621571,126.9556847
2329648786,37.561293,126.9522861
2329648794,37.5575479,126.9487864
2329648796,37.5579027,126.9428684
2329648797,37.5580341,126.9458156
2329648799,37.5583961,126.9457812
2329648800,37.5591439,126.9436416
2329648801,37.5586804,126.9436152
2329648802,37.5584777,126.9434356
2329648803,37.5584505,126.9428412
2329648805,37.5591632,126.9445376
2329648806,37.5572754,126.9446937
2329648807,37.5572717,126.9446304
2329649091,37.5773346,126.9323497
2329649094,37.5745805,126.9271192
2329649097,37.5776291,126.9357637
2329649098,37.5795167,126.9341479
2329649100,37.580504,126.9330854
2329649111,37.5829267,126.9255232
2329649117,37.5830458,126.9233693
2329649123,37.5854094,126.9230516
2329649124,37.5838519,126.9232373
2329649150,37.5855049,126.915373
2330753877,37.5609995,126.9420784
2330771264,37.5668519,126.9309257
2330771268,37.5691253,126.9286391
2330771273,37.5701018,126.9277475
2330771286,37.5695819,126.9257344
2330771290,37.5694335,126.9261225
2330771304,37.5655644,126.929903
2330771309,37.5667491,126.9279164
2330771492,37.5612204,126.9559583
2330771508,37.55836,126.9599818
2330771528,37.5628199,126.9619852
2330771537,37.5625695,126.9554997
2330771540,37.5632594,126.9576887
2330771575,37.5644593,126.9638702
2330782571,37.5603901,126.9655431
2330782585,37.5599407,126.958695
2330782588,37.5599912,126.9604696
2330782601,37.5606157,126.9587625
2330782619,37.5591188,126.9535908
2364556169,37.5559785,126.9362338
2419036826,37.5995879,126.9514016
2451940827,37.557449,126.9568327
2451940830,37.5580731,126.9580678
2451940839,37.5588384,126.9590323
2451940849,37.5597897,126.9599529
2451940857,37.5601694,126.9592362
2451940858,37.5601497,126.9584047
2451940860,37.5602056,126.9584839
2451940872,37.5606803,126.9602836
2451940885,37.5609739,126.9600391
2451940896,37.5613782,126.9597251
2451940919,37.562024,126.9551474
2451940922,37.5620747,126.9618089
2451940929,37.5622159,126.9617995
2451940941,37.5624239,126.9618419
2451940942,37.562491,126.9592948
2451940946,37.5627678,126.9546977
2451940953,37.5630433,126.962119
2451940956,37.5631359,126.9573055
2451940957,37.5632705,126.9572468
2451940960,37.5634377,126.9589359
2451940962,37.5635132,126.9606801
2451940963,37.5636441,126.9567447
2451940966,37.563908,126.958015
2451940967,37.5639916,126.9529737
2451940969,37.5641012,126.9532199
2451940971,37.5640867,126.9544905
2451940974,37.5644081,126.9590945
2451940975,37.5643348,126.9589735
2451940978,37.5645066,126.9542312
2451940979,37.5645913,126.953659
2451940980,37.5646397,126.9588888
2451940984,37.5649897,126.9543514
2451940985,37.5650647,126.9565039
2451940988,37.5651332,126.9525931
2451940989,37.5653018,126.9581781
2451940992,37.5653711,126.9544473
2451940993,37.5654557,126.9538441
2451940996,37.5654976,126.9565325
2451941002,37.5658032,126.9645347
2451941006,37.5659443,126.9546062
2451941009,37.5658729,126.9586772
2451941011,37.566196,126.9540222
2451941022,37.5665586,126.9644061
2451941023,37.5663504,126.9593607
2451941032,37.5671244,126.9640432
2451941043,37.5683013,126.9619482
2451941048,37.5688584,126.9615642
2451941052,37.569358,126.9613034
2451941053,37.5694922,126.9630185
2451941066,37.5714664,126.9591181
2451941067,37.5716435,126.9595293
2453030223,37.59585,126.9477608
2453030236,37.5964222,126.9525595
2453030246,37.5968961,126.9504527
2453030252,37.5976681,126.9486922
2453030259,37.5981828,126.9489017
2453030263,37.5988103,126.9494432
2453030266,37.5990066,126.9491455
2453030267,37.5990264,126.9454035
2453030272,37.5992805,126.9480142
2453030288,37.599579,126.9474795
2453030290,37.5996856,126.9511791
2453030297,37.5997331,126.9505744
2453030302,37.5998822,126.9487091
2453030307,37.600281,126.94945
2453030312,37.6005665,126.9446339
2453030317,37.6010937,126.944196
2453030327,37.6019111,126.9497082
2453030338,37.6026196,126.9461443
2453030345,37.6034091,126.9494421
2463701113,37.5667861,126.964799
2463701704,37.5655539,126.9655709
2463701705,37.5660715,126.9654782
2473245560,37.5605272,126.9273019
2473245562,37.5596325,126.9272268
2473245564,37.5605,126.927656
2473245566,37.5623204,126.9292532
2473245567,37.5618098,126.9278491
2473245569,37.5611726,126.928198
2473245570,37.5597133,126.9276927
2473255244,37.5592562,126.9292251
2473255260,37.5608718,126.9285576
2473255263,37.5616585,126.9278903
2473255266,37.5604681,126.9281468
2473255268,37.5617052,126.927507
2473255281,37.5605978,126.9289408
2473255292,37.5608543,126.930633
2473255296,37.5607357,126.9290353
2473255305,37.5596814,126.9290875
2473261133,37.5586141,126.9336446
2473261136,37.5588649,126.934065
2473261141,37.5584737,126.9335158
2473261142,37.5572553,126.9329367
2473261143,37.5591281,126.9294622
2473261147,37.5589431,126.9336679
2473261150,37.5588857,126.930055
2473261153,37.5575356,126.9330092
2473262328,37.5603975,126.9303018
2473262329,37.5582846,126.9334135
