u,v,highway,length,lanes,risk_score
287630237,2139941906,residential,62.1456815974133,2,2.1521953e-05
287630237,2451940610,residential,55.09174700703812,4,2.1521953e-05
287630237,3867926925,residential,47.04975343960373,4,2.1521953e-05
307924211,2930525549,residential,82.42929389268659,4,3.896753e-05
307924211,2960308646,secondary,9.439707279047926,4,9.977264e-05
307924211,3823587157,secondary,57.41659878499448,4,0.00025518943
307924211,3823587261,residential,80.61038119845557,2,2.8404178e-05
307924222,3823586881,residential,49.7597464422267,3,2.1521953e-05
307924222,3823586981,residential,124.04163107020572,2,3.295083e-05
307924222,4576632339,residential,15.120144151871656,2,1.02936665e-05
307924223,307924224,residential,20.545962659259835,4,2.092451e-05
307924223,3823587003,residential,34.683483866292626,2,1.02936665e-05
307924223,3823587092,residential,22.206970840497483,2,1.02936665e-05
307924224,3823586968,residential,28.877793610373125,4,2.092451e-05
307924224,3823587102,residential,62.99626194783396,2,2.1521953e-05
307924229,307924231,residential,60.30919186435428,2,2.1521953e-05
307924229,436849320,secondary,45.90775807655743,2,0.00012515846
307924229,3819769661,secondary,158.99272859229168,2,0.0003057371
307924231,3824954306,residential,76.65577070739718,2,2.8404178e-05
307924231,8373737661,residential,16.74264629631787,2,1.02936665e-05
307931315,1796860673,secondary,155.9324166072819,2,0.0003057371
307931315,5281648447,secondary,200.4454578303859,4,0.0004517338
307931315,5316100660,residential,75.79236891845916,4,3.896753e-05
2532420365,352993164,primary,31.626472874661253,1,0.0001055099
352993164,4581738307,residential,109.4929341715247,3,4.294348e-05
352993164,5756267873,primary,175.94887490318163,1,0.0004517338
352994306,436810573,secondary,53.112032579245096,2,0.000156775
352994306,3820983880,residential,71.22012206745308,2,2.8404178e-05
352994306,3820983887,secondary,53.725076227718105,2,0.000156775
352994306,3820983892,residential,77.60206583040298,2,2.8404178e-05
352994528,3823586730,residential,21.492191671759283,2,1.02936665e-05
352994528,3823586800,residential,132.17715043452398,1,3.896753e-05
352994528,4569528547,residential,43.88095244407775,2,2.1521953e-05
352994529,353194433,secondary,89.86841538451318,2,0.00025518943
352994529,3823586779,secondary,60.17131900740132,2,0.000156775
352994529,3823586800,residential,48.05034757218807,2,2.1521953e-05
352994529,4571012704,residential,32.38203122531902,2,1.02936665e-05
352994667,3823586813,residential,87.1512821125726,2,2.8404178e-05
352994667,3823587062,residential,117.13570492461965,2,3.295083e-05
352994667,3823587364,residential,232.41424039464715,2,0.00010854434
352994671,352994767,residential,24.55914005945769,2,1.02936665e-05
352994671,3823587364,residential,16.931532240031597,2,1.02936665e-05
352994671,3823587787,residential,144.9566816363353,2,3.896753e-05
352994767,3823587245,residential,147.95538383675031,2,5.3612737e-05
352994767,3823587308,residential,65.41471304624642,2,2.1521953e-05
352994770,3823587114,residential,26.418259125984623,2,1.02936665e-05
352994770,3823587160,residential,9.07374108032566,2,1.02936665e-05
