u,v,risk_score_pred
287630237,2451940610,0.00010046736
287630237,2139941906,0.00010801911
287630237,3867926925,9.252422e-05
355129296,355129297,0.00017853471
355129296,3494544694,0.00022937894
355129296,3494544693,0.00027139956
355129296,355799510,0.0002399247
355129297,4634390513,5.230004e-05
355129297,355129296,0.00017459094
355129297,356653358,0.00019233194
355129297,355129299,0.0002503631
355129299,357763810,0.00016359607
355129299,355799509,0.00011721541
355129299,355129297,0.00024578275
355129299,4634390513,0.00022830098
355129515,355432281,0.00012617525
355129515,355433091,9.6095406e-05
355129518,436840344,0.00018580107
355129518,6584019687,0.00029486173
355129518,355798666,0.0002770106
355129518,4634390383,0.00016597087
355129675,355433089,0.00013002352
355129675,355129854,0.0001444107
355129678,387154859,4.523604e-05
355129678,387154947,0.00028938265
355129678,387154920,0.00015807107
355129854,355433088,0.000117499025
355129854,6583346926,0.00012980754
355432281,2930463921,0.00010360682
355432281,355129675,0.000117990414
355432282,355799976,0.0002306919
355432282,2374750053,0.00025516088
355432282,2930463922,0.00025731785
355432430,355129515,0.00013401765
355432430,355433092,9.790759e-05
355432431,355432936,0.000199285
355432431,355800598,0.0002211745
355432431,355798263,0.00022350448
355432431,2374750053,0.0002639591
355432933,355433089,0.0001166959
355432933,2930463922,0.00019047853
355432933,357763810,0.0001896151
355432933,355432934,0.00019029084
355432934,355432282,0.00025519324
355432934,355432933,0.00018616069
355432934,355432935,0.00019666678
355432935,2374750053,0.00019881391
355432935,355433091,0.0001235377
355432935,355432934,0.00020212763
355432935,355432936,0.00018346164
355432936,355432431,0.00020607421
355432936,355433092,0.0001271077
355432936,355432935,0.00018347919
355432936,355432938,0.00014477035
355432938,355432939,0.00014865794
355432938,355432430,0.00017933149
355432938,355432936,0.000144835
355432939,355432938,0.00015328178
355432939,2374823805,0.00013198242
355432939,436830144,0.00051054615
355432939,2930463919,0.00070807175
355433088,357763810,9.269794e-05
355433088,355129854,0.00011780868
355433089,355432933,0.000112293725
355433089,355129675,0.00012431703
355433089,355433088,0.00016824636
355433091,355129515,9.979042e-05
355433091,355432935,0.00011447841
355433091,2930463921,0.00014988601
355433092,355432936,0.00012433784
355433092,355432430,0.0001002555
355433092,355433091,0.00016553712
355798263,2930463919,0.00027334236
355798263,355432938,0.00026332127
355798263,355800597,0.00025298548
355798263,355432431,0.00022062472
355798268,355798962,0.0001707032
355798268,2721321961,0.00016403224
355798268,2721261123,0.0002448521
355798268,414685337,0.0002924698
355798664,355800598,0.0001981318
355798664,355798665,0.00011286631
355798664,4634390383,0.00018262207
355798665,355798666,8.915243e-05
355798665,355798664,0.00013816151
355798665,355800480,0.00027810986
355798666,355798665,7.074684e-05
355798666,355798962,0.00032998997
355798666,2720510403,0.00015332627
355798666,355129518,0.0002741349
355798962,355800480,0.0002571851
355798962,355798268,0.00017298698
355798962,355798666,0.0003162155
355798962,2724377708,0.00022577099
355798964,3407835859,0.00016949105
355798964,355798965,0.00025949973
355798964,6584019687,0.0003038374
355798964,355799975,0.00022668866
355798965,4634390513,0.00018303868
355798965,355798964,0.00028623772
355798965,355799678,0.00018959535
355798965,355799510,0.000156611
355799509,355129299,0.000118473705
355799509,355799678,0.00022330409
355799509,2930463922,0.0002543212
355799510,355798965,0.00015795544
355799510,387154947,0.00027822226
355799510,3407835859,0.000321543
355799510,355129296,0.00023685313
355799678,355799509,0.00022311756
355799678,355798965,0.00019040587
355799975,355799678,0.00029388213
355799975,2930463922,0.00023049054
355799975,355798964,0.00025183053
355799976,355432282,0.00022846097
355799976,355799975,0.00029273564
355799977,355799976,0.00026485353
355799977,4634390383,0.00018266526
355799977,2374750053,0.00020955213
355800480,355798962,0.0002604806
355800480,436880518,0.00021230271
355800480,355800597,0.00033380615
355800480,355798665,0.000259713
355800597,355798263,0.0002517103
355800597,355800480,0.000351654
355800597,355800598,0.00027181537
355800598,355432431,0.00022159958
355800598,355798664,0.0001978541
355800598,355799977,0.00025381625
356651268,2930463919,0.00014208615
356651268,3634040397,0.00018512463
356651268,2374823854,0.000101593876
356651268,2374823841,0.00015668651
356653356,3494544693,0.00012256656
356653356,356653358,5.919269e-05
356653358,355129297,0.0001888646
356653358,356653359,4.2700718e-05
356653359,2139867190,5.5209228e-05
356653359,3508122901,8.621727e-05
357763810,355433088,9.898459e-05
357763810,355129299,0.00016740078
357763810,355432933,0.00018702477
387153848,2139941847,0.001569592
387153860,2139941882,0.00012848398
387154319,387154518,0.00015846247
387154517,387154698,0.00036243282
387154518,436718632,0.00024308577
387154518,387154717,0.00026518476
387154698,387154700,0.00013824242
387154698,796137310,0.0004583832
387154700,387154705,0.00017317157
387154700,3074316369,0.00018204746
387154705,2753700728,0.0003219281
387154712,387154517,0.00035385264
387154712,387154717,0.0003129437
387154717,798645174,0.00019075454
387154858,387154918,0.00021504515
387154858,4309638164,0.0002974894
387154858,2374750074,0.00022379585
387154859,355129678,4.534088e-05
387154859,3048652633,0.00015330923
387154859,2374750078,0.00020500051
387154916,2374750075,0.0001984663
387154916,2374750069,0.00020242047
387154916,2374750057,0.00016235125
387154918,387154858,0.00021205688
387154918,387154950,0.00022703886
387154918,2374750069,0.00027332158
387154918,4309664863,0.0002923514
387154920,4309664863,0.0002693369
387154920,355129678,0.00016086551
387154920,4311903758,0.0002014631
387154947,355799510,0.0002787215
387154947,355129678,0.0002973348
387154947,4311903758,0.00026673698
387154947,3504542404,0.0001306757
387154950,387154918,0.00022509003
387154950,4309655467,0.0003171236
387154950,2374750064,0.00029790425
387154950,436840344,0.00029776126
387154951,2374750057,9.2546215e-05
387154951,2721321961,0.00025170343
387154951,2374750064,0.00026684708
387154952,2374750079,5.4829852e-05
387154952,2374750051,0.00023295492
387154952,2374750057,0.00025248612
387154953,2374750077,0.00012148915
387154953,2374750079,0.00025230384
387154953,2329649060,0.00020665687
414683348,8460119046,0.00041517866
414683348,11707452269,0.0006151679
414683348,7281578349,0.00022243458
414685214,2739029763,0.0003053815
414685214,436874429,0.00024065626
414685214,436874438,0.000973742
414685214,8463187835,0.00028867935
414685225,3867929892,0.00025235224
414685225,3431071797,0.0003577261
414685225,4591208014,0.0004137085
414685225,3868066575,0.00032245606
414685256,8477568358,0.0001175
414685256,8477568355,0.00014440724
414685256,8477574118,0.00015187457
414685337,2724377708,0.000670107
414685337,2721262777,0.00027933455
414685337,3500755195,0.000140465
414685337,355798268,0.00029242967
414685342,6271015626,0.00018911473
414685342,3317861462,6.708111e-05
414685342,3317861162,0.00014061284
414685342,3464948596,0.00015964956
414685882,2532420363,0.00014763096
414685882,2532403755,0.00016075071
414685926,2881092583,0.0006720739
414685926,5587181200,0.0008593526
414685926,414685930,0.0006223745
414685930,436776235,0.00076229655
414685930,414685926,0.00061989686
414685930,414685968,0.0009135001
414685968,2881102882,0.00023119319
414685968,414685930,0.00097151496
414685968,436830190,0.00019388023
414685975,4630968172,0.00055809383
414685975,2605603672,0.00096663105
414685975,1104187225,0.0006382187
414685975,2605603669,0.0010425166
436393603,436393611,0.00041236496
436393603,5102323468,0.00015356178
436393611,436393613,0.00019022703
436393611,436393603,0.00040883708
436393613,3849174320,0.00016296476
436393613,436393615,0.00037864005
436393613,436393611,0.00019163558
436393615,436393613,0.00037914692
436393615,5587181199,0.00058907806
436393615,436393611,0.00013975563
436689758,5168879192,0.00030361288
436689812,3991035411,8.000597e-05
436689812,2451940665,9.161466e-05
436689812,3242365290,0.0005083556
436718632,2753700671,8.0591155e-05
436718644,11688752946,0.00020187422
436718644,11688752947,0.00011645331
436718644,3078076796,0.0004660712
436718644,3078076779,0.00064458814
436718653,3034111472,0.00030256403
436718687,11689066396,0.0001990852
436718687,11080341314,0.00018764517
436718711,8478367052,0.00019274246
436718711,11689066418,0.00013153022
436718711,436825413,0.00014889809
436760117,436760119,0.00023982159
436760119,4493459427,0.00010782349
436760119,4493459424,0.000130031
436760124,2139941903,0.00016659546
436760124,2139941756,0.0011484099
436760133,2139941845,0.00019208757
436760133,2139941732,0.0003595794
436776235,4630968697,0.00016702342
436776235,414685930,0.0007835003
436776235,2881094700,0.00022500404
436776235,4630968172,0.00074838044
436794456,3868066275,0.0001957269
436794456,3868066160,0.00012903484
436794456,3868066200,5.2447143e-05
436804138,8118928953,0.00015337023
436805774,2451940711,0.00012509806
436805774,9946440068,0.00041029818
436805789,4591716533,0.00010881082
436805789,5293251538,0.00014448083
436805789,2690977357,0.00019496474
436805789,5104926219,0.0001770252
436825400,436825402,0.00012965014
436825400,3991035409,6.998395e-05
436825400,2451940759,0.00066141813
436825402,436825400,0.00013181969
436825402,436825406,0.00015625136
436825402,2451940799,8.8036955e-05
436825402,8383159996,0.00012884095
436825406,2451940825,0.00014753646
436825406,2329648890,5.0419378e-05
436825406,436825402,0.0001616919
436825408,4591461862,6.746345e-05
436825408,2329648814,0.00010505146
436825408,2451940825,8.965281e-05
436825413,2329648814,0.0001054561
436825413,436718711,0.00014478233
436825413,8478367052,0.00011613556
436828298,3868066598,0.00011067093
436828298,3868066424,0.00019762506
436828298,3868066587,5.6160992e-05
436828299,4591663326,0.00016325519
436828299,3868066598,0.000105477615
436828299,4591679942,0.00017426032
436828299,3868066618,0.00017288268
436830144,2147567607,0.00027283936
436830144,3917352219,0.00019404394
436830144,2147567604,0.00042730753
436830144,355432939,0.00047187935
436830152,436855860,0.00020629045
436830152,4673980921,0.00048478448
436830190,3414087838,6.39518e-05
436830190,414685968,0.00019564199
436830190,436830195,0.0005778551
436830195,436830190,0.0005725033
436830195,3414087389,0.00014113077
436830195,449469095,0.00033898687
436830207,3347412393,0.00014963433
436830207,1133534456,0.0001580823
436835405,5054206125,0.0005292729
436835405,3867929675,0.0006759742
436835405,436877204,0.00077026663
436835405,5054206130,0.0004344573
436835405,3867929720,0.00012150554
436835407,5054206125,0.00014482615
436835407,3868066318,0.00024567312
436835407,3867929745,0.00026073182
436835407,4591227565,0.00016183025
436835420,9987494196,0.00014700985
436835420,3867929946,0.00023545233
436835420,9987526935,0.00018153676
436835433,5235827850,6.192599e-05
436835433,8477807829,4.5796904e-05
436835433,8477807825,0.00013230908
436835433,7298467871,0.000496269
436835466,3868066610,7.768793e-05
436835466,4591679953,0.0004588179
436835466,4591679942,0.0001936816
436835481,3869600353,0.00032673634
436835481,3869599546,0.0005457448
436835481,3869600357,0.00014376029
436835483,436864020,0.00064674456
436835483,3869600353,0.00032571732
436835483,1830504800,0.0006895424
436835483,3869600349,0.00051719736
436835489,1834932799,0.00012532723
436835489,1830504800,0.0005999273
436835489,1834932797,0.0007199561
436835489,2329649026,0.0001971983
436835498,1834932797,0.0010972659
436835498,11688752946,0.00053790875
436835498,3078076792,0.00025169874
436836580,2451940617,0.000723573
436836580,436836581,0.0009550302
436836581,2451940629,0.0010745581
436836581,436836580,0.0009476231
436836581,2451940627,0.00024874465
436836581,4591258867,0.00022071446
436837148,6427444567,0.00012518874
436837148,1949110858,0.00042615802
436837148,436837149,0.00014442632
436837149,3033929921,9.368552e-05
436837149,436837148,0.00014304205
436837149,436837156,0.00035398506
436837156,3702193046,5.9035778e-05
436837156,436837149,0.00035280638
436837156,436837159,0.0004947141
436837159,3033929895,0.00011638019
436837159,436837161,0.00025790482
436837159,436837156,0.0004890683
436837161,4630901213,6.143058e-05
436837161,436837164,0.0003016144
436837161,436837159,0.00026059084
436837164,436837161,0.0003006543
436837164,436837167,0.00015607568
436837164,3702193053,0.00010464931
436837167,436837164,0.00015541894
436837167,3702193049,0.00040022636
436837167,3702193047,9.9089724e-05
436837171,436862108,0.00010880274
436837171,3702193049,0.00011756509
436837171,4674668606,0.0001189799
436837204,2329649056,0.00014905276
436837204,2139867246,0.00064802315
436837204,2374776955,0.0007715888
436837204,3048655633,0.000572501
436837307,3867929571,0.00013175831
436837307,3867929604,0.00056907383
436837307,3867926946,0.00016269762
436837307,4591258864,0.00016365561
436837321,4613041873,0.00013853172
436837321,3867929740,0.00023442149
436837321,3867929840,0.00041636074
436837321,4591258863,0.0007028171
436839854,9941864291,0.0001759799
436839854,9941864292,0.00019625548
436839855,9943951274,0.0005472178
436839884,2330782495,0.00025886457
436839884,3352633687,0.000119211676
436840344,355129518,0.00018021626
436840344,387154950,0.0002973321
436840344,2720510403,0.00030659515
436840344,2930463923,0.00032212032
436840375,1949178482,0.00020576584
436840375,4257999690,0.00016796043
436840380,1949110892,0.0001476582
436840380,1949178482,0.00018582186
436840380,2374838755,0.0003726511
436840380,436853792,0.0007331956
436840393,4588152153,0.0001465556
436840393,436862110,0.00017671623
436840393,436862111,0.00021459341
436840393,3664000342,0.00015827411
436841463,3855510428,0.00029793085
436841463,414685882,0.00018658525
436852812,3855510379,0.00048997294
436852812,3855510474,0.0004932742
436852812,3855510458,0.00011856094
436852821,3855510576,0.00014480052
436852821,3855510801,0.00040753896
436852821,3855510645,0.00018479607
436853379,4057789359,0.00010141614
436853379,3074968860,0.00037269574
436853385,436853386,0.00019472411
436853385,4593688981,9.364968e-05
436853385,4593688987,0.00037475675
436853386,4593695171,5.0597573e-05
436853386,436853387,0.000255866
436853386,436853385,0.0001912692
436853387,436853386,0.00023670736
436853387,4593695168,8.414445e-05
436853387,3867929648,0.0005214507
436853387,3074968863,0.000318134
436853677,9946440068,4.8571324e-05
436853677,8477807829,0.00023349309
436853677,436853683,0.00044196207
436853683,9958232723,0.0002870962
436853683,436805774,0.00011487324
436853694,2330771349,6.91e-05
436853694,436853695,0.0005273263
436853695,3865541988,0.00023624784
436853695,2330771437,5.686124e-05
436853792,1931790389,0.00039949638
436853792,436840380,0.000732083
436853798,2374838652,0.00010380142
436853798,2724391967,0.00017550841
436853798,2374838755,0.00051392626
436853804,3628462216,0.00011843694
436853804,2288449080,0.0004242662
436853804,3628462223,0.0005892895
436855641,2724391956,0.00018046811
436855641,2288449080,0.00044415164
436855641,3628462216,0.00014810506
436855646,2288449080,0.00068348413
436855646,5046224743,0.00019954142
436855837,3855510577,0.00015503267
436855837,3855510797,0.00058248866
436855837,3855510656,0.00024481374
436855860,436830152,0.00020103162
436855860,3855510383,0.0006412326
436855860,3849174320,0.0003908243
436859628,2139941828,0.0012229534
436859628,387153848,0.0005394595
436859638,9379611610,0.00019570887
436859638,6048920035,0.0004605407
436859638,436874458,0.00024066478
436862108,1949139253,0.0001562004
436862108,436837171,0.00010830789
436862109,1949139160,0.00017071664
436862109,1949139253,0.00015163395
436862109,1949139184,0.0001621436
436862110,436840393,0.00017766691
436862110,1949139160,0.00018590114
436862110,3655203114,9.489001e-05
436862111,2374838526,0.00010951021
436862111,436862112,0.00017398807
436862111,436840393,0.00021658852
436862112,2374838555,0.00017393887
436862112,436862111,0.00017315698
436862410,3798902280,0.00044612974
436862410,4590068789,0.00052944536
436864020,436835483,0.00064486323
436864020,3038710046,0.00049497036
436864020,2473238876,0.0006006883
436864063,3743639307,0.00012240392
436864063,3648703726,0.00010168465
436864063,3743639300,6.563542e-05
436869371,1795204599,0.00020678318
436869371,3038710046,0.0006024917
436869371,1834932812,0.00010034342
436869380,3034164321,0.0005063869
436869380,2374794523,0.00012347053
436869380,1949178468,0.0008770058
436869387,2374823840,0.000105833475
436869387,2329649074,0.00073218887
436869387,1949178468,0.0007314985
436874414,4686032109,0.0001223983
436874414,4683091426,0.0001407113
436874429,414685214,0.00024118817
436874429,3868066375,0.00037429534
436874438,2139941924,0.0007060789
436874438,3868066486,0.00021900222
436874438,414685214,0.0010258756
436874438,3868066618,0.0006021226
436874438,8477575614,0.000534305
436874458,8537159258,0.0003166127
436874458,436859638,0.00023184455
436877190,8536553324,0.0002778102
436877190,3383840993,0.00056964793
436877190,2204167381,0.00035460998
436877194,3867926946,0.00027370636
436877194,2451940611,0.00038491486
436877194,3867926925,9.891395e-05
436877194,3867926937,6.967327e-05
436877199,3867929696,0.00020335904
436877199,3867929664,0.00014718935
436877199,3867929649,8.179087e-05
436877199,3867929718,0.000115477036
436877204,436877205,0.00026383298
436877204,3868066319,9.0379275e-05
436877204,436835405,0.0007503127
436877204,3868066313,0.00013817423
436877205,436877204,0.00027771847
436877205,3081352934,0.00033932072
436877205,4591183287,9.082437e-05
436877207,3868066363,6.749021e-05
436877207,3868066364,0.00017446929
436877207,3081352934,0.0002793175
436877209,3868066385,0.00014416796
436877209,3868066376,0.00015361294
436877209,3868066418,8.5520944e-05
436877210,3868066424,0.0001093704
436877210,436877211,0.00012585745
436877210,3868066385,0.00013876968
436877210,3868066351,0.00013625031
436877211,3868066400,0.00018436066
436877211,436877210,0.0001246045
436877211,3868066358,8.166437e-05
436880518,2374823823,0.00016066236
436880518,2724377708,0.000775509
436880518,355800480,0.00021506888
436880518,2374823820,0.000991594
445327391,387154953,0.00017927951
445327391,2329649072,9.6002026e-05
445327391,2720635239,0.00067540817
445327391,6585518418,0.0005934053
445327414,2329649060,0.00016688326
445327414,3201530628,0.00041089635
445327414,2374750067,0.00069081597
449464861,449464918,0.00049977924
449464861,449471589,9.3520524e-05
449464861,4688584730,0.00013854701
449464918,449464861,0.00051204895
449464918,449468527,0.0001870963
449464918,449471230,0.00015742693
449468527,449464918,0.00018103918
449468527,4681926743,4.4469114e-05
449468527,449469095,0.0007102767
449469095,11707228325,0.0003506216
449469095,436830195,0.00033771014
449469095,449468527,0.0007028966
449471230,449464918,0.00011233801
449471230,449472636,0.00010716476
449471230,449471589,0.00013580307
449471589,449472636,0.000103113554
449471589,449464861,0.00010233458
449471589,449471230,0.00013542158
449472636,4681957524,8.841758e-05
449472636,449471230,0.0001087925
449472636,449471589,0.00010301571
449472636,449473090,0.00011030479
449472899,4681957524,9.8736185e-05
449472899,449473568,9.383985e-05
449472899,449473090,8.880721e-05
449472899,449473088,0.00011922853
449473088,449473568,0.000132292
449473088,4681926739,0.00010210694
449473088,449472899,0.00011946156
449473090,449472636,0.00013872677
449473090,449473568,9.685904e-05
449473090,449472899,9.4247625e-05
449473568,449473090,0.00010569182
449473568,449473088,0.00013671514
449473568,449472899,8.6088934e-05
631756001,1795204580,0.0002499806
631756001,4927966771,0.00023278505
631756001,3034284276,0.00025827246
796137310,2139941920,0.0011415209
798645174,2139867174,0.00035902436
798645919,2139941766,9.5011856e-05
798645919,2139941910,0.00014364031
798645945,2753742480,0.0003023664
798645945,387154517,0.000573839
798651017,12455462133,0.0001861695
798651017,3074316369,0.0004480462
1104187225,4630968173,0.00036957712
1104187225,2881092167,0.00055938674
1104187225,414685975,0.0006318238
1104187225,2881092112,0.0006964885
1133534451,5294397120,0.0006064271
1133534456,3414087347,0.00027929782
1133534456,8458097648,0.00014756461
1133534459,1133534471,0.00015462909
1133534459,1133534460,0.00017200166
1133534460,3849185769,9.7767974e-05
1133534461,1133534471,0.00014839301
1133534461,1133534460,0.0001324579
1133534471,1133534451,0.00030871385
1133534473,1133534461,0.00028763342
1133534473,1133534451,0.0010329721
1795204580,2959081059,0.0006782295
1795204580,3034197250,0.00061250146
1795204580,4426326194,0.00018335336
1795204580,631756001,0.0002441568
1795204599,436869371,0.00020763162
1795204599,3033951751,0.00038125145
1795204599,4426326194,0.00017764553
1795204599,3034111472,0.00023025954
1800575463,3034164310,0.00013822928
1800585176,3040585338,0.0002898426
1800585176,2421606544,0.00023365993
1800585176,1830388306,9.248897e-05
1830388306,1830388317,0.00013093554
1830388306,1800585176,9.350553e-05
1830388306,3139492445,0.00019522077
1830388317,1830388306,0.00013091534
1830411034,3648704125,7.211526e-05
1830504800,436835489,0.0005981558
1830504800,2323311234,0.00020988425
1830504800,436835483,0.00067300437
1834932796,1834932799,0.00021667367
1834932797,436835489,0.00071802957
1834932797,436835498,0.0010420213
1834932797,3066579587,0.00013297045
1834932799,436835489,0.00012988693
1834932799,2930467403,0.00018071372
1834932799,1834932796,0.00022280002
